model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_no_coords,spatial,False,1,1,balanced,,sqrt,1,300,824,50,0.18042367082395785,0.913346253229974,0.46929008877057915,0.05025357092783185,0.45714285714285713,0.48,0.9599483204134367
RF_multi_no_coords,spatial,False,1,2,balanced,,sqrt,1,300,824,52,0.19719254835807268,0.8689094260661618,0.4231563757836079,0.052470183657073226,0.4642857142857143,0.5,0.9559585492227979
RF_multi_no_coords,spatial,False,1,3,balanced,,sqrt,1,300,816,48,0.1946507819314957,0.8325195312500001,0.3208009857809285,0.05319783496742443,0.391304347826087,0.375,0.9661458333333334
RF_multi_no_coords,spatial,False,1,4,balanced,,sqrt,1,300,816,49,0.18021094668807366,0.8921320809940665,0.4505024562350486,0.047747355936944166,0.47191011235955055,0.42857142857142855,0.9752281616688396
RF_multi_no_coords,spatial,False,1,5,balanced,,sqrt,1,300,824,51,0.19152882622589457,0.8917636912462268,0.42582553915472604,0.052075105447787484,0.44642857142857145,0.49019607843137253,0.9534282018111255
RF_multi_no_coords,spatial,False,2,1,balanced,,sqrt,1,500,824,50,0.1806376287265653,0.9139922480620155,0.4693099828805057,0.05039954611658616,0.4117647058823529,0.42,0.9599483204134367
RF_multi_no_coords,spatial,False,2,2,balanced,,sqrt,1,500,824,52,0.1860698507984127,0.8712136309286568,0.42391760670441175,0.05179417475736407,0.4727272727272727,0.5,0.9585492227979274
RF_multi_no_coords,spatial,False,2,3,balanced,,sqrt,1,500,816,48,0.1941993755115127,0.8335096571180555,0.31503886286075217,0.05354322549025612,0.3595505617977528,0.3333333333333333,0.9674479166666666
RF_multi_no_coords,spatial,False,2,4,balanced,,sqrt,1,500,816,49,0.1695830824315625,0.8955777878296037,0.45722892686446676,0.047377862745185045,0.4772727272727273,0.42857142857142855,0.9765319426336375
RF_multi_no_coords,spatial,False,2,5,balanced,,sqrt,1,500,824,51,0.19109421542149105,0.8918144230525328,0.4291464688228231,0.05184502184473058,0.46017699115044247,0.5098039215686274,0.9534282018111255
RF_multi_no_coords,spatial,False,3,1,balanced,,sqrt,5,300,824,50,0.2920390480701578,0.9137209302325582,0.4603853019018436,0.08735091446463807,0.4044943820224719,0.72,0.8811369509043928
RF_multi_no_coords,spatial,False,3,2,balanced,,sqrt,5,300,824,52,0.2898575079063524,0.8800069748903945,0.4515337106171123,0.08580813214209337,0.4378698224852071,0.7115384615384616,0.8963730569948186
