model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_with_coords,random,True,1,1,balanced,,sqrt,1,300,824,52,0.169147454745401,0.8995864886408927,0.45137639238826754,0.046472262675405884,0.5333333333333333,0.5384615384615384,0.9676165803108808
RF_multi_with_coords,random,True,1,2,balanced,,sqrt,1,300,824,52,0.1623373198299972,0.9177212036667994,0.47081179572903664,0.04400366531836071,0.4146341463414634,0.3269230769230769,0.9831606217616581
RF_multi_with_coords,random,True,1,3,balanced,,sqrt,1,300,824,50,0.18985055528259043,0.893501291989664,0.46554367096584337,0.05175930178005664,0.4915254237288136,0.58,0.9496124031007752
RF_multi_with_coords,random,True,1,4,balanced,,sqrt,1,300,816,49,0.1661152170329966,0.9189793257589868,0.4573287564429964,0.0471747276689458,0.5137614678899083,0.5714285714285714,0.9582790091264668
RF_multi_with_coords,random,True,1,5,balanced,,sqrt,1,300,816,48,0.17843097122691493,0.9065755208333333,0.49260967596081867,0.048969605392318635,0.4716981132075472,0.5208333333333334,0.95703125
RF_multi_with_coords,random,True,2,1,balanced,,sqrt,1,500,824,52,0.16689144263230252,0.9069225787166202,0.4660143985982972,0.04658950000007404,0.5333333333333333,0.5384615384615384,0.9676165803108808
RF_multi_with_coords,random,True,2,2,balanced,,sqrt,1,500,824,52,0.16149240139708312,0.9187798923874054,0.4774931228919641,0.043686822815626206,0.3950617283950617,0.3076923076923077,0.9831606217616581
RF_multi_with_coords,random,True,2,3,balanced,,sqrt,1,500,824,50,0.17917175835364335,0.900232558139535,0.4678079508199377,0.05191764077677913,0.5128205128205128,0.6,0.9521963824289406
RF_multi_with_coords,random,True,2,4,balanced,,sqrt,1,500,816,49,0.16534959993967502,0.920602400021286,0.45625116541845395,0.04700159313732353,0.5321100917431193,0.5918367346938775,0.9595827900912647
RF_multi_with_coords,random,True,2,5,balanced,,sqrt,1,500,816,48,0.16842381142781176,0.9055853949652779,0.5044188490647026,0.048544950980520835,0.4716981132075472,0.5208333333333334,0.95703125
RF_multi_with_coords,random,True,3,1,balanced,,sqrt,5,300,824,52,0.2525930167428629,0.9128636907134317,0.5414545373244444,0.0728194012564263,0.49056603773584906,0.75,0.9119170984455959
RF_multi_with_coords,random,True,3,2,balanced,,sqrt,5,300,824,52,0.2356556894205661,0.9199133120765245,0.4804703132197313,0.06600404775217299,0.4722222222222222,0.6538461538461539,0.9248704663212435
RF_multi_with_coords,random,True,3,3,balanced,,sqrt,5,300,824,50,0.27908907530003474,0.9036175710594315,0.5010795452746499,0.0833681245216441,0.4678362573099415,0.8,0.8953488372093024
RF_multi_with_coords,random,True,3,4,balanced,,sqrt,5,300,816,49,0.2569579290767899,0.9222254742835857,0.4854617292428648,0.07297748718764585,0.5194805194805194,0.8163265306122449,0.9152542372881356
RF_multi_with_coords,random,True,3,5,balanced,,sqrt,5,300,816,48,0.276481269657293,0.9035915798611112,0.45035181723383666,0.08245731000608315,0.4311377245508982,0.75,0.8919270833333334
RF_multi_with_coords,random,True,4,1,balanced,,sqrt,5,500,824,52,0.2521511077309264,0.9117676365085692,0.5400749671764663,0.07238209340188015,0.5032258064516129,0.75,0.917098445595855
RF_multi_with_coords,random,True,4,2,balanced,,sqrt,5,500,824,52,0.23679211879597464,0.9195894778796333,0.4769879416065778,0.06636093870378912,0.4583333333333333,0.6346153846153846,0.9235751295336787
RF_multi_with_coords,random,True,4,3,balanced,,sqrt,5,500,824,50,0.27943953687568296,0.9043410852713178,0.4983205602036448,0.08331464713716606,0.4624277456647399,0.8,0.8927648578811369
RF_multi_with_coords,random,True,4,4,balanced,,sqrt,5,500,816,49,0.25804318898015266,0.9203097144985766,0.4771615585730894,0.07334986964616151,0.5228758169934641,0.8163265306122449,0.9165580182529335
RF_multi_with_coords,random,True,4,5,balanced,,sqrt,5,500,816,48,0.27664901630042227,0.9006347656250001,0.4409707507418086,0.08226884517888784,0.42857142857142855,0.75,0.890625
RF_multi_with_coords,random,True,5,1,balanced,20.0,sqrt,1,300,824,52,0.17961959705258262,0.8973943802311678,0.46841089080239756,0.04677869151867374,0.5283018867924528,0.5384615384615384,0.966321243523316
RF_multi_with_coords,random,True,5,2,balanced,20.0,sqrt,1,300,824,52,0.1608391042554331,0.9212460143483459,0.4782919247585259,0.043769547879682284,0.40963855421686746,0.3269230769230769,0.9818652849740933
RF_multi_with_coords,random,True,5,3,balanced,20.0,sqrt,1,300,824,50,0.19234712615713778,0.8969250645994831,0.4559680185733879,0.053116194135716166,0.5166666666666667,0.62,0.9496124031007752
RF_multi_with_coords,random,True,5,4,balanced,20.0,sqrt,1,300,816,49,0.1673918633294331,0.9186201207992976,0.4580586495697687,0.04738414204704683,0.5225225225225225,0.5918367346938775,0.9569752281616688
RF_multi_with_coords,random,True,5,5,balanced,20.0,sqrt,1,300,816,48,0.17815949882554538,0.908203125,0.5139964458362204,0.04924371384228236,0.45454545454545453,0.5208333333333334,0.9518229166666666
RF_multi_with_coords,random,True,6,1,balanced,20.0,sqrt,1,500,824,52,0.16771224756731487,0.9056521522518932,0.4692958404309821,0.04663671296441412,0.5142857142857142,0.5192307692307693,0.966321243523316
