model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_with_coords,spatial,True,1,1,balanced,,sqrt,1,300,824,50,0.16496867497158574,0.934186046511628,0.5401892384247293,0.04476135140249582,0.5471698113207547,0.58,0.9651162790697675
RF_multi_with_coords,spatial,True,1,2,balanced,,sqrt,1,300,824,52,0.17820384132098102,0.903024113192507,0.5039763537458413,0.04933728182320295,0.4380952380952381,0.4423076923076923,0.961139896373057
RF_multi_with_coords,spatial,True,1,3,balanced,,sqrt,1,300,816,48,0.17725218586046124,0.8599175347222223,0.4107947061947884,0.04879308278877764,0.4367816091954023,0.3958333333333333,0.9739583333333334
RF_multi_with_coords,spatial,True,1,4,balanced,,sqrt,1,300,816,49,0.14555568441864564,0.927999361413405,0.5491791354504234,0.04078199891075872,0.4691358024691358,0.3877551020408163,0.9830508474576272
RF_multi_with_coords,spatial,True,1,5,balanced,,sqrt,1,300,824,51,0.19075933236006518,0.891332470892626,0.4340230833254638,0.05243910221157066,0.4745762711864407,0.5490196078431373,0.9495472186287193
RF_multi_with_coords,spatial,True,2,1,balanced,,sqrt,1,500,824,50,0.16478429233801167,0.9334108527131783,0.5441363180742362,0.04467875485445267,0.5471698113207547,0.58,0.9651162790697675
RF_multi_with_coords,spatial,True,2,2,balanced,,sqrt,1,500,824,52,0.17997225902713776,0.8990509166998804,0.49861880722487045,0.04970296844668447,0.4230769230769231,0.4230769230769231,0.961139896373057
RF_multi_with_coords,spatial,True,2,3,balanced,,sqrt,1,500,816,48,0.17855781067766466,0.8547634548611112,0.4109752306842623,0.04894288725496567,0.45977011494252873,0.4166666666666667,0.9752604166666666
RF_multi_with_coords,spatial,True,2,4,balanced,,sqrt,1,500,816,49,0.14546203681704875,0.928518213021845,0.5545283981770035,0.0405648921569228,0.4819277108433735,0.40816326530612246,0.9817470664928292
RF_multi_with_coords,spatial,True,2,5,balanced,,sqrt,1,500,824,51,0.19069014399622727,0.891510032214697,0.4305622472932016,0.05240958009716991,0.47863247863247865,0.5490196078431373,0.9508408796895214
RF_multi_with_coords,spatial,True,3,1,balanced,,sqrt,5,300,824,50,0.26054615592625563,0.9348578811369509,0.5775946024608378,0.07542340056896388,0.48520710059171596,0.82,0.8992248062015504
RF_multi_with_coords,spatial,True,3,2,balanced,,sqrt,5,300,824,52,0.26622777480421567,0.9038710641689917,0.4872419094885139,0.07776811822972443,0.46060606060606063,0.7307692307692307,0.9028497409326425
RF_multi_with_coords,spatial,True,3,3,balanced,,sqrt,5,300,816,48,0.2593652859355292,0.8577202690972222,0.39535831200418886,0.0754041892648643,0.40540540540540543,0.625,0.9088541666666666
RF_multi_with_coords,spatial,True,3,4,balanced,,sqrt,5,300,816,49,0.24061469192173554,0.9333209163717638,0.5455129960487973,0.06650375875455422,0.4900662251655629,0.7551020408163265,0.9152542372881356
RF_multi_with_coords,spatial,True,3,5,balanced,,sqrt,5,300,824,51,0.2828059191816444,0.8945032087867488,0.42818573452711345,0.08403008579789345,0.45161290322580644,0.8235294117647058,0.8796895213454075
RF_multi_with_coords,spatial,True,4,1,balanced,,sqrt,5,500,824,50,0.26068527309067746,0.9349612403100774,0.5813934129777129,0.07538328456943381,0.47953216374269003,0.82,0.896640826873385
RF_multi_with_coords,spatial,True,4,2,balanced,,sqrt,5,500,824,52,0.2662203352237216,0.9044190912714228,0.49497082374017715,0.0775955706363389,0.46060606060606063,0.7307692307692307,0.9028497409326425
RF_multi_with_coords,spatial,True,4,3,balanced,,sqrt,5,500,816,48,0.2589804730746157,0.8595920138888888,0.40387491932491904,0.07548616226224539,0.3918918918918919,0.6041666666666666,0.9075520833333334
RF_multi_with_coords,spatial,True,4,4,balanced,,sqrt,5,500,816,49,0.2429279088512589,0.9318308809834233,0.5421504448435011,0.0672472488146503,0.4605263157894737,0.7142857142857143,0.9113428943937418
RF_multi_with_coords,spatial,True,4,5,balanced,,sqrt,5,500,824,51,0.28359610987408096,0.8939197930142303,0.42955291936682055,0.08435535943080867,0.44919786096256686,0.8235294117647058,0.8783958602846055
RF_multi_with_coords,spatial,True,5,1,balanced,20.0,sqrt,1,300,824,50,0.1670273556148918,0.9331653746770027,0.5490036825463296,0.04577703155878944,0.5225225225225225,0.58,0.958656330749354
RF_multi_with_coords,spatial,True,5,2,balanced,20.0,sqrt,1,300,824,52,0.18054009827652492,0.9037589677162216,0.5016269645289751,0.050412182995836795,0.44036697247706424,0.46153846153846156,0.9572538860103627
RF_multi_with_coords,spatial,True,5,3,balanced,20.0,sqrt,1,300,816,48,0.1788796740122433,0.855740017361111,0.4137615688075413,0.04914054392847258,0.42696629213483145,0.3958333333333333,0.9713541666666666
RF_multi_with_coords,spatial,True,5,4,balanced,20.0,sqrt,1,300,816,49,0.14568722300134307,0.9318042732086316,0.5511881527034967,0.041018388083736215,0.4523809523809524,0.3877551020408163,0.9791395045632334
RF_multi_with_coords,spatial,True,5,5,balanced,20.0,sqrt,1,300,824,51,0.20251873365021633,0.889696370139259,0.4312656587370715,0.05299978207948667,0.4745762711864407,0.5490196078431373,0.9495472186287193
RF_multi_with_coords,spatial,True,6,1,balanced,20.0,sqrt,1,500,824,50,0.16538337637266612,0.9337726098191215,0.5576747197021371,0.04512943574762228,0.5405405405405406,0.6,0.9599483204134367
RF_multi_with_coords,spatial,True,6,2,balanced,20.0,sqrt,1,500,824,52,0.1809741988300155,0.901280390593862,0.5026461221516695,0.05033678059336108,0.42990654205607476,0.4423076923076923,0.9585492227979274
RF_multi_with_coords,spatial,True,6,3,balanced,20.0,sqrt,1,500,816,48,0.17991168497013807,0.85498046875,0.4043036841781612,0.04948362519034882,0.4318181818181818,0.3958333333333333,0.97265625
RF_multi_with_coords,spatial,True,6,4,balanced,20.0,sqrt,1,500,816,49,0.14616104638026603,0.9297820823244551,0.552229159142985,0.04091575293746787,0.47058823529411764,0.40816326530612246,0.9791395045632334
RF_multi_with_coords,spatial,True,6,5,balanced,20.0,sqrt,1,500,824,51,0.2018623601159721,0.8897851508002943,0.4301809267858163,0.05288064529876002,0.4745762711864407,0.5490196078431373,0.9495472186287193
RF_multi_with_coords,spatial,True,7,1,balanced,20.0,sqrt,5,300,824,50,0.2608169184749923,0.9348062015503876,0.5789496627080004,0.07548325465174528,0.4880952380952381,0.82,0.900516795865633
RF_multi_with_coords,spatial,True,7,2,balanced,20.0,sqrt,5,300,824,52,0.26646952378001876,0.9035721402949383,0.4869079559575312,0.0778063414326963,0.46060606060606063,0.7307692307692307,0.9028497409326425
RF_multi_with_coords,spatial,True,7,3,balanced,20.0,sqrt,5,300,816,48,0.25967873912837647,0.8575032552083333,0.3917762498237767,0.07551045557704844,0.40540540540540543,0.625,0.9088541666666666
RF_multi_with_coords,spatial,True,7,4,balanced,20.0,sqrt,5,300,816,49,0.24061973954330496,0.9333475241465556,0.5458991175309255,0.06649630570453957,0.4900662251655629,0.7551020408163265,0.9152542372881356
RF_multi_with_coords,spatial,True,7,5,balanced,20.0,sqrt,5,300,824,51,0.2826788438770239,0.8945285746899019,0.4276648563166625,0.08399752288779455,0.45161290322580644,0.8235294117647058,0.8796895213454075
RF_multi_with_coords,spatial,True,8,1,balanced,20.0,sqrt,5,500,824,50,0.26084432452263845,0.9350904392764858,0.581541896395075,0.07541594220604862,0.47674418604651164,0.82,0.8953488372093024
RF_multi_with_coords,spatial,True,8,2,balanced,20.0,sqrt,5,500,824,52,0.2664292255769261,0.9040952570745316,0.49486694340600185,0.07762160686205179,0.4634146341463415,0.7307692307692307,0.9041450777202072
RF_multi_with_coords,spatial,True,8,3,balanced,20.0,sqrt,5,500,816,48,0.25922246604804394,0.8588324652777778,0.40293810964982435,0.07556122314401986,0.3918918918918919,0.6041666666666666,0.9075520833333334
RF_multi_with_coords,spatial,True,8,4,balanced,20.0,sqrt,5,500,816,49,0.24288096572922635,0.9319639198573823,0.5419992251847211,0.06722568594667122,0.4605263157894737,0.7142857142857143,0.9113428943937418
RF_multi_with_coords,spatial,True,8,5,balanced,20.0,sqrt,5,500,824,51,0.2835282853159752,0.8939958907236892,0.4298227061313474,0.084338388097937,0.44680851063829785,0.8235294117647058,0.8771021992238034
