model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_no_coords,spatial,False,Cacophis kreftii,128,1,0.14619266996127434,1.0,1.0,0.04129105902805902,0.3333333333333333,1.0,0.968503937007874
RF_single_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.34947920906587493,0.8006688963210702,0.37449576660108425,0.1126027500000703,0.4117647058823529,0.5384615384615384,0.8782608695652174
RF_single_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.47179268031051885,0.8247159090909091,0.6487354164658305,0.15641235771852688,0.5230769230769231,0.425,0.9090909090909091
RF_single_no_coords,spatial,False,Egernia mcpheei,128,6,0.2094894966147197,0.7295081967213115,0.13120930793344587,0.04664715625039062,0.0,0.0,0.9918032786885246
RF_single_no_coords,spatial,False,Eulamprus murrayi,128,0,0.018457917392065162,,,0.0016552083338880208,0.0,,1.0
RF_single_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.38642454324584297,0.8735785953177257,0.3656277061748075,0.12448716517057082,0.5,0.8461538461538461,0.8260869565217391
RF_single_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.08823157660339652,0.9047619047619048,0.12142857142857143,0.021445187500218753,0.0,0.0,0.9920634920634921
RF_single_no_coords,spatial,False,Saltuarius swaini,128,0,0.07539497606250914,,,0.017654468750265627,0.0,,0.9765625
RF_multi_no_coords,spatial,False,Cacophis kreftii,128,1,0.1567375731808719,1.0,1.0,0.03908671875003906,0.3333333333333333,1.0,0.968503937007874
RF_multi_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.33273781600825153,0.794314381270903,0.37558245268079976,0.1066840000000547,0.2857142857142857,0.3076923076923077,0.9043478260869565
RF_multi_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.45739364559819123,0.8375,0.6843722002892372,0.15202318750002347,0.5507246376811594,0.475,0.8863636363636364
RF_multi_no_coords,spatial,False,Egernia mcpheei,128,6,0.17302813241245835,0.7418032786885246,0.26833859696711354,0.04225634375008594,0.0,0.0,0.9918032786885246
RF_multi_no_coords,spatial,False,Eulamprus murrayi,128,0,0.025482524767901207,,,0.001993437500140625,0.0,,1.0
RF_multi_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.41377561591608036,0.8508361204013378,0.3251092064305057,0.13787600000003908,0.4166666666666667,0.7692307692307693,0.782608695652174
RF_multi_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.10181503060640226,0.7698412698412699,0.07407407407407407,0.02162328125003906,0.0,0.0,1.0
RF_multi_no_coords,spatial,False,Saltuarius swaini,128,0,0.07691126866007679,,,0.01352559375005469,0.0,,0.984375
RF_multi_interactions_no_coords,spatial,False,Cacophis kreftii,128,1,0.14909982246951914,1.0,1.0,0.040071625000117184,0.4,1.0,0.9763779527559056
RF_multi_interactions_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.3289445159049358,0.8163879598662207,0.38737568965658986,0.10716443750005468,0.3448275862068966,0.38461538461538464,0.9043478260869565
RF_multi_interactions_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.47342932071956867,0.8225852272727272,0.6615185908656435,0.15838390625003906,0.5151515151515151,0.425,0.8977272727272727
RF_multi_interactions_no_coords,spatial,False,Egernia mcpheei,128,6,0.17876702300572014,0.755464480874317,0.21745203457727175,0.04342118750020312,0.0,0.0,0.9918032786885246
RF_multi_interactions_no_coords,spatial,False,Eulamprus murrayi,128,0,0.02328155357294511,,,0.0019950625002265634,0.0,,1.0
RF_multi_interactions_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.409229851221322,0.8628762541806021,0.389942551948535,0.1345514375000469,0.425531914893617,0.7692307692307693,0.7913043478260869
RF_multi_interactions_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.0974177481345525,0.8015873015873016,0.07272727272727272,0.02186571875007031,0.0,0.0,0.9920634920634921
