model,split_type,use_coords,species,candidate,fold,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_with_coords,random,True,Cacophis kreftii,1,1,balanced,,sqrt,1,300,103,3,0.09884835141512395,0.95,0.34074074074074073,0.03324962243849623,0.2222222222222222,0.3333333333333333,0.95
RF_single_with_coords,random,True,Cacophis kreftii,1,2,balanced,,sqrt,1,300,103,3,0.12221849972425324,0.9333333333333333,0.2222222222222222,0.04243937432626754,0.0,0.0,0.97
RF_single_with_coords,random,True,Cacophis kreftii,1,3,balanced,,sqrt,1,300,102,3,0.15072005432585076,0.8585858585858586,0.1303030303030303,0.04774259259312201,0.0,0.0,0.9696969696969697
RF_single_with_coords,random,True,Cacophis kreftii,1,4,balanced,,sqrt,1,300,103,4,0.14134148715126799,0.8914141414141413,0.1857638888888889,0.0478583603025739,0.0,0.0,0.9595959595959596
RF_single_with_coords,random,True,Cacophis kreftii,1,5,balanced,,sqrt,1,300,102,3,0.09612718789786664,0.9461279461279462,0.2777777777777778,0.03141078431420589,0.2857142857142857,0.3333333333333333,0.9696969696969697
RF_single_with_coords,random,True,Cacophis kreftii,2,1,balanced,,sqrt,1,500,103,3,0.09824943771773706,0.9533333333333334,0.35,0.03295879611699029,0.25,0.3333333333333333,0.96
RF_single_with_coords,random,True,Cacophis kreftii,2,2,balanced,,sqrt,1,500,103,3,0.12146961518087435,0.9316666666666666,0.2142857142857143,0.04236310679653397,0.0,0.0,0.97
RF_single_with_coords,random,True,Cacophis kreftii,2,3,balanced,,sqrt,1,500,102,3,0.14628414809198226,0.8585858585858586,0.11951871657754011,0.0465825490200196,0.0,0.0,0.9696969696969697
RF_single_with_coords,random,True,Cacophis kreftii,2,4,balanced,,sqrt,1,500,103,4,0.1372826509965822,0.8964646464646464,0.19583333333333333,0.046280077670291256,0.0,0.0,0.9595959595959596
RF_single_with_coords,random,True,Cacophis kreftii,2,5,balanced,,sqrt,1,500,102,3,0.09658583941675142,0.9461279461279462,0.2777777777777778,0.031347450980774516,0.2857142857142857,0.3333333333333333,0.9696969696969697
RF_single_with_coords,random,True,Cacophis kreftii,3,1,balanced,,sqrt,5,300,103,3,0.1512539780468532,0.95,0.29444444444444445,0.048161517494041337,0.46153846153846156,1.0,0.93
RF_single_with_coords,random,True,Cacophis kreftii,3,2,balanced,,sqrt,5,300,103,3,0.17546412643821757,0.95,0.2757936507936508,0.05678655981622515,0.42857142857142855,1.0,0.92
RF_single_with_coords,random,True,Cacophis kreftii,3,3,balanced,,sqrt,5,300,102,3,0.22126182576562684,0.8484848484848485,0.1138755980861244,0.07373845871879378,0.0,0.0,0.9090909090909091
RF_single_with_coords,random,True,Cacophis kreftii,3,4,balanced,,sqrt,5,300,103,4,0.23691654256542724,0.9090909090909091,0.21208323839902787,0.08444926407217893,0.2727272727272727,0.75,0.8484848484848485
RF_single_with_coords,random,True,Cacophis kreftii,3,5,balanced,,sqrt,5,300,102,3,0.14930117860613726,0.9461279461279462,0.2686868686868687,0.04700888147893136,0.36363636363636365,0.6666666666666666,0.9393939393939394
RF_single_with_coords,random,True,Cacophis kreftii,4,1,balanced,,sqrt,5,500,103,3,0.15000364391371196,0.9466666666666668,0.26666666666666666,0.047425221188392465,0.46153846153846156,1.0,0.93
RF_single_with_coords,random,True,Cacophis kreftii,4,2,balanced,,sqrt,5,500,103,3,0.1753439598882619,0.95,0.2757936507936508,0.056418677265008654,0.42857142857142855,1.0,0.92
RF_single_with_coords,random,True,Cacophis kreftii,4,3,balanced,,sqrt,5,500,102,3,0.21970514278118766,0.8518518518518519,0.11604010025062655,0.07323263263680573,0.0,0.0,0.9090909090909091
RF_single_with_coords,random,True,Cacophis kreftii,4,4,balanced,,sqrt,5,500,103,4,0.23583506145477376,0.9090909090909091,0.21208323839902787,0.08358347310584412,0.2727272727272727,0.75,0.8484848484848485
RF_single_with_coords,random,True,Cacophis kreftii,4,5,balanced,,sqrt,5,500,102,3,0.14867916272418136,0.952861952861953,0.28888888888888886,0.046254282877494834,0.36363636363636365,0.6666666666666666,0.9393939393939394
RF_single_with_coords,random,True,Cacophis kreftii,5,1,balanced,20.0,sqrt,1,300,103,3,0.09884835141512395,0.95,0.34074074074074073,0.03324962243849623,0.2222222222222222,0.3333333333333333,0.95
