model,split_type,use_coords,species,candidate,fold,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_with_coords,spatial,True,Cacophis kreftii,1,1,balanced,,sqrt,1,300,103,4,0.12440624346527059,0.9419191919191918,0.28585164835164834,0.04088155339861166,0.0,0.0,0.9797979797979798
RF_single_with_coords,spatial,True,Cacophis kreftii,1,2,balanced,,sqrt,1,300,103,4,0.1358952484620797,0.9027777777777778,0.20085649644473175,0.045820711974488684,0.0,0.0,0.9797979797979798
RF_single_with_coords,spatial,True,Cacophis kreftii,1,3,balanced,,sqrt,1,300,102,3,0.12295106068277024,0.9393939393939394,0.32857142857142857,0.041032570806678666,0.25,0.3333333333333333,0.9595959595959596
RF_single_with_coords,spatial,True,Cacophis kreftii,1,4,balanced,,sqrt,1,300,103,4,0.18978829821519275,0.8345959595959596,0.17444444444444446,0.05674627831762784,0.25,0.25,0.9696969696969697
RF_single_with_coords,spatial,True,Cacophis kreftii,1,5,balanced,,sqrt,1,300,102,4,0.13028562271651856,0.9311224489795918,0.43623737373737376,0.04409923747315903,0.18181818181818182,0.25,0.9387755102040817
RF_single_with_coords,spatial,True,Cacophis kreftii,2,1,balanced,,sqrt,1,500,103,4,0.12558186344004257,0.9381313131313131,0.2790334665334665,0.04095025242766019,0.0,0.0,0.9797979797979798
RF_single_with_coords,spatial,True,Cacophis kreftii,2,2,balanced,,sqrt,1,500,103,4,0.1356416924871813,0.8926767676767676,0.1836996336996337,0.04547122330127183,0.0,0.0,0.9797979797979798
RF_single_with_coords,spatial,True,Cacophis kreftii,2,3,balanced,,sqrt,1,500,102,3,0.12216381198603922,0.936026936026936,0.27301587301587305,0.04063513725543137,0.25,0.3333333333333333,0.9595959595959596
RF_single_with_coords,spatial,True,Cacophis kreftii,2,4,balanced,,sqrt,1,500,103,4,0.18514925608471175,0.8383838383838385,0.17684386973180077,0.05592240776739805,0.25,0.25,0.9696969696969697
RF_single_with_coords,spatial,True,Cacophis kreftii,2,5,balanced,,sqrt,1,500,102,4,0.13103817019072214,0.9285714285714286,0.3112373737373737,0.044560000000352935,0.2222222222222222,0.25,0.9591836734693877
RF_single_with_coords,spatial,True,Cacophis kreftii,3,1,balanced,,sqrt,5,300,103,4,0.13412101903521365,0.9368686868686867,0.2875,0.04331342949823948,0.25,0.25,0.9696969696969697
RF_single_with_coords,spatial,True,Cacophis kreftii,3,2,balanced,,sqrt,5,300,103,4,0.22649017846372105,0.8939393939393939,0.18299935358758887,0.0785222006254326,0.3,0.75,0.8686868686868687
RF_single_with_coords,spatial,True,Cacophis kreftii,3,3,balanced,,sqrt,5,300,102,3,0.22005348893068952,0.9326599326599326,0.2566137566137566,0.076119616750908,0.35294117647058826,1.0,0.8888888888888888
RF_single_with_coords,spatial,True,Cacophis kreftii,3,4,balanced,,sqrt,5,300,103,4,0.26998079627751437,0.8459595959595959,0.16162330316742082,0.0965831486589402,0.1,0.25,0.8484848484848485
RF_single_with_coords,spatial,True,Cacophis kreftii,3,5,balanced,,sqrt,5,300,102,4,0.23233398688364132,0.9081632653061226,0.3996732026143791,0.08159839839718822,0.34782608695652173,1.0,0.8469387755102041
RF_single_with_coords,spatial,True,Cacophis kreftii,4,1,balanced,,sqrt,5,500,103,4,0.13584122103022953,0.9318181818181819,0.2714285714285714,0.04403099693859175,0.25,0.25,0.9696969696969697
RF_single_with_coords,spatial,True,Cacophis kreftii,4,2,balanced,,sqrt,5,500,103,4,0.2258191774843034,0.904040404040404,0.20416666666666666,0.07835576636845142,0.38095238095238093,1.0,0.8686868686868687
RF_single_with_coords,spatial,True,Cacophis kreftii,4,3,balanced,,sqrt,5,500,102,3,0.2205281086023563,0.9393939393939393,0.3214285714285714,0.07652283032913286,0.35294117647058826,1.0,0.8888888888888888
RF_single_with_coords,spatial,True,Cacophis kreftii,4,4,balanced,,sqrt,5,500,103,4,0.26609691146432624,0.8484848484848485,0.18225781845919148,0.0951775436591381,0.1,0.25,0.8484848484848485
RF_single_with_coords,spatial,True,Cacophis kreftii,4,5,balanced,,sqrt,5,500,102,4,0.2339231151187116,0.9158163265306123,0.4088235294117647,0.08245406598681711,0.34782608695652173,1.0,0.8469387755102041
RF_single_with_coords,spatial,True,Cacophis kreftii,5,1,balanced,20.0,sqrt,1,300,103,4,0.12440624346527059,0.9419191919191918,0.28585164835164834,0.04088155339861166,0.0,0.0,0.9797979797979798
RF_single_with_coords,spatial,True,Cacophis kreftii,5,2,balanced,20.0,sqrt,1,300,103,4,0.1358952484620797,0.9027777777777778,0.20085649644473175,0.045820711974488684,0.0,0.0,0.9797979797979798
RF_single_with_coords,spatial,True,Cacophis kreftii,5,3,balanced,20.0,sqrt,1,300,102,3,0.12295106068277024,0.9393939393939394,0.32857142857142857,0.041032570806678666,0.25,0.3333333333333333,0.9595959595959596
RF_single_with_coords,spatial,True,Cacophis kreftii,5,4,balanced,20.0,sqrt,1,300,103,4,0.18978829821519275,0.8345959595959596,0.17444444444444446,0.05674627831762784,0.25,0.25,0.9696969696969697
RF_single_with_coords,spatial,True,Cacophis kreftii,5,5,balanced,20.0,sqrt,1,300,102,4,0.13028562271651856,0.9311224489795918,0.43623737373737376,0.04409923747315903,0.18181818181818182,0.25,0.9387755102040817
RF_single_with_coords,spatial,True,Cacophis kreftii,6,1,balanced,20.0,sqrt,1,500,103,4,0.12558186344004257,0.9381313131313131,0.2790334665334665,0.04095025242766019,0.0,0.0,0.9797979797979798
RF_single_with_coords,spatial,True,Cacophis kreftii,6,2,balanced,20.0,sqrt,1,500,103,4,0.1356416924871813,0.8926767676767676,0.1836996336996337,0.04547122330127183,0.0,0.0,0.9797979797979798
RF_single_with_coords,spatial,True,Cacophis kreftii,6,3,balanced,20.0,sqrt,1,500,102,3,0.12216381198603922,0.936026936026936,0.27301587301587305,0.04063513725543137,0.25,0.3333333333333333,0.9595959595959596
RF_single_with_coords,spatial,True,Cacophis kreftii,6,4,balanced,20.0,sqrt,1,500,103,4,0.18514925608471175,0.8383838383838385,0.17684386973180077,0.05592240776739805,0.25,0.25,0.9696969696969697
RF_single_with_coords,spatial,True,Cacophis kreftii,6,5,balanced,20.0,sqrt,1,500,102,4,0.13103817019072214,0.9285714285714286,0.3112373737373737,0.044560000000352935,0.2222222222222222,0.25,0.9591836734693877
RF_single_with_coords,spatial,True,Cacophis kreftii,7,1,balanced,20.0,sqrt,5,300,103,4,0.13412101903521365,0.9368686868686867,0.2875,0.04331342949823948,0.25,0.25,0.9696969696969697
RF_single_with_coords,spatial,True,Cacophis kreftii,7,2,balanced,20.0,sqrt,5,300,103,4,0.22649017846372113,0.8939393939393939,0.18299935358758887,0.0785222006254326,0.3,0.75,0.8686868686868687
RF_single_with_coords,spatial,True,Cacophis kreftii,7,3,balanced,20.0,sqrt,5,300,102,3,0.2200534889306896,0.9326599326599326,0.2566137566137566,0.07611961675090803,0.35294117647058826,1.0,0.8888888888888888
RF_single_with_coords,spatial,True,Cacophis kreftii,7,4,balanced,20.0,sqrt,5,300,103,4,0.2699807962775144,0.8459595959595959,0.16162330316742082,0.09658314865894022,0.1,0.25,0.8484848484848485
RF_single_with_coords,spatial,True,Cacophis kreftii,7,5,balanced,20.0,sqrt,5,300,102,4,0.23233398688364137,0.9081632653061226,0.3996732026143791,0.08159839839718823,0.34782608695652173,1.0,0.8469387755102041
RF_single_with_coords,spatial,True,Cacophis kreftii,8,1,balanced,20.0,sqrt,5,500,103,4,0.13584122103022953,0.9318181818181819,0.2714285714285714,0.04403099693859175,0.25,0.25,0.9696969696969697
RF_single_with_coords,spatial,True,Cacophis kreftii,8,2,balanced,20.0,sqrt,5,500,103,4,0.2258191774843034,0.904040404040404,0.20416666666666666,0.07835576636845144,0.38095238095238093,1.0,0.8686868686868687
RF_single_with_coords,spatial,True,Cacophis kreftii,8,3,balanced,20.0,sqrt,5,500,102,3,0.22052810860235608,0.9393939393939393,0.3214285714285714,0.0765228303291328,0.35294117647058826,1.0,0.8888888888888888
RF_single_with_coords,spatial,True,Cacophis kreftii,8,4,balanced,20.0,sqrt,5,500,103,4,0.2660969114643263,0.8484848484848485,0.18225781845919148,0.09517754365913811,0.1,0.25,0.8484848484848485
RF_single_with_coords,spatial,True,Cacophis kreftii,8,5,balanced,20.0,sqrt,5,500,102,4,0.2339231151187116,0.9158163265306123,0.4088235294117647,0.08245406598681711,0.34782608695652173,1.0,0.8469387755102041
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,1,1,balanced,,sqrt,1,300,103,7,0.18046580441831145,0.9017857142857143,0.5010922752014612,0.05407011866265264,0.5,0.5714285714285714,0.9479166666666666
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,1,2,balanced,,sqrt,1,300,103,8,0.12263846485930062,0.9710526315789473,0.7189445970695971,0.03912060409956527,0.6666666666666666,0.75,0.9578947368421052
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,1,3,balanced,,sqrt,1,300,103,8,0.13238915836899515,0.9710526315789474,0.7295100732600732,0.04267982740050701,0.631578947368421,0.75,0.9473684210526315
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,1,4,balanced,,sqrt,1,300,102,7,0.182253938544097,0.9496240601503759,0.5025415429329626,0.05375566448835078,0.5882352941176471,0.7142857142857143,0.9473684210526315
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,1,5,balanced,,sqrt,1,300,102,7,0.13879821312075102,0.9601503759398496,0.6079931972789115,0.039361111111483674,0.75,0.8571428571428571,0.968421052631579
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,2,1,balanced,,sqrt,1,500,103,7,0.18162822884483928,0.900297619047619,0.5006297405113594,0.0538448932041359,0.5,0.5714285714285714,0.9479166666666666
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,2,2,balanced,,sqrt,1,500,103,8,0.1227331622761794,0.9723684210526315,0.7501945970695971,0.039212349514786395,0.6666666666666666,0.75,0.9578947368421052
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,2,3,balanced,,sqrt,1,500,103,8,0.1321924643974335,0.9697368421052632,0.730952380952381,0.04281413592259223,0.631578947368421,0.75,0.9473684210526315
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,2,4,balanced,,sqrt,1,500,102,7,0.18179610890055597,0.9533834586466166,0.5118847539015605,0.053932039215950967,0.625,0.7142857142857143,0.9578947368421052
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,2,5,balanced,,sqrt,1,500,102,7,0.14114057046157055,0.9609022556390978,0.6098047914818101,0.03950580392183333,0.75,0.8571428571428571,0.968421052631579
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,3,1,balanced,,sqrt,5,300,103,7,0.23716484770246415,0.8958333333333334,0.4039778073391519,0.07653847730206377,0.45454545454545453,0.7142857142857143,0.8958333333333334
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,3,2,balanced,,sqrt,5,300,103,8,0.20688630865863955,0.9671052631578947,0.6517097485847486,0.062236492025233216,0.64,1.0,0.9052631578947369
