model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_single_with_coords,spatial,True,Cacophis kreftii,128,1,0.14956756198713603,1.0,1.0,0.039791843750140624,0.2857142857142857,1.0,0.9606299212598425
RF_single_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.2793653820792933,0.8217391304347826,0.38609550163351064,0.08939531250009376,0.19047619047619047,0.15384615384615385,0.9478260869565217
RF_single_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.46151284910974466,0.8088068181818181,0.5252369507674127,0.16290364583336459,0.42424242424242425,0.35,0.8636363636363636
RF_single_with_coords,spatial,True,Egernia mcpheei,128,6,0.32489757339151026,0.6898907103825136,0.2153935185185185,0.04427818055606337,0.0,0.0,1.0
RF_single_with_coords,spatial,True,Eulamprus murrayi,128,0,0.05497806649436045,,,0.007755555555735243,0.0,,1.0
RF_single_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.4475481218046863,0.7705685618729097,0.19942762643640977,0.15165248505040038,0.23809523809523808,0.38461538461538464,0.7913043478260869
RF_single_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.05980226771132856,0.9543650793650794,0.5714285714285714,0.013850086805774304,0.0,0.0,1.0
RF_single_with_coords,spatial,True,Saltuarius swaini,128,0,0.045040688522574354,,,0.00864887500015625,0.0,,0.9921875
RF_multi_with_coords,spatial,True,Cacophis kreftii,128,1,0.22551825081166313,1.0,1.0,0.053947829861111116,0.4,1.0,0.9763779527559056
RF_multi_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.3550820247929828,0.7595317725752508,0.35219036197705694,0.10976510416666665,0.25,0.23076923076923078,0.9304347826086956
RF_multi_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.4748509931494358,0.809090909090909,0.5347051942071305,0.1651282986111111,0.32786885245901637,0.25,0.875
RF_multi_with_coords,spatial,True,Egernia mcpheei,128,6,0.16644974143968028,0.7424863387978142,0.2844043033660914,0.04086501736111112,0.0,0.0,1.0
RF_multi_with_coords,spatial,True,Eulamprus murrayi,128,0,0.09802004456376773,,,0.012345572916666665,0.0,,1.0
RF_multi_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.4578767846073914,0.7535117056856188,0.18655708622307066,0.15598619791670576,0.2222222222222222,0.38461538461538464,0.7652173913043478
RF_multi_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.09430221636176488,0.7678571428571429,0.18333333333333332,0.01684670138888889,0.0,0.0,1.0
RF_multi_with_coords,spatial,True,Saltuarius swaini,128,0,0.08302595133259387,,,0.010474392361111112,0.0,,1.0
RF_multi_interactions_with_coords,spatial,True,Cacophis kreftii,128,1,0.23449560036012973,1.0,1.0,0.05993062499999999,0.2857142857142857,1.0,0.9606299212598425
RF_multi_interactions_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.34165312072919496,0.7508361204013377,0.3384066427531291,0.1050633125,0.18181818181818182,0.15384615384615385,0.9391304347826087
RF_multi_interactions_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.45583861313750573,0.8140625,0.5384713363337428,0.15954446875,0.4411764705882353,0.375,0.8522727272727273
RF_multi_interactions_with_coords,spatial,True,Egernia mcpheei,128,6,0.1719336064691909,0.7329234972677596,0.2343215063803299,0.04157921875004687,0.0,0.0,1.0
RF_multi_interactions_with_coords,spatial,True,Eulamprus murrayi,128,0,0.10015832704209676,,,0.013608937500000001,0.0,,1.0
RF_multi_interactions_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.46881187180101,0.7133779264214046,0.17311377417353027,0.16075137500001563,0.19047619047619047,0.3076923076923077,0.782608695652174
RF_multi_interactions_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.07576553174372397,0.8115079365079365,0.18666666666666665,0.0152211875,0.0,0.0,1.0
RF_multi_interactions_with_coords,spatial,True,Saltuarius swaini,128,0,0.07398440418236948,,,0.0092510625,0.0,,1.0
RF_single_with_coords,random,True,Cacophis kreftii,128,4,0.10442485201812374,0.9526209677419355,0.6125,0.033663812500429685,0.3333333333333333,0.5,0.9516129032258065
RF_single_with_coords,random,True,Calyptotis scutirostrum,128,16,0.20346001834055524,0.9481026785714286,0.6776290116133865,0.06518412500014845,0.6875,0.6875,0.9553571428571429
RF_single_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3176138121126711,0.8974537037037036,0.6974758214178152,0.10471990625008594,0.5660377358490566,0.75,0.8333333333333334
RF_single_with_coords,random,True,Egernia mcpheei,128,3,0.10688302212342579,0.872,0.11792207792207793,0.03144634375040625,0.0,0.0,0.984
RF_single_with_coords,random,True,Eulamprus murrayi,128,1,0.11732171270496553,0.3582677165354331,0.0078125,0.008720210070163196,0.0,0.0,1.0
RF_single_with_coords,random,True,Ophioscincus truncatus,128,26,0.4474725741270795,0.8097662141779789,0.49148630411427874,0.14184560355824086,0.5306122448979592,0.5,0.9019607843137255
RF_single_with_coords,random,True,Pseudechis porphyricaus,128,3,0.23097956490731994,0.5613333333333332,0.041939484126984124,0.03935805729206511,0.0,0.0,0.976
RF_single_with_coords,random,True,Saltuarius swaini,128,1,0.06256151071516744,0.7755905511811023,0.03333333333333333,0.012668812500437499,0.0,0.0,1.0
RF_multi_with_coords,random,True,Cacophis kreftii,128,4,0.12075872234281108,0.939516129032258,0.5941176470588235,0.03238368750009375,0.5,0.5,0.9838709677419355
RF_multi_with_coords,random,True,Calyptotis scutirostrum,128,16,0.19475984259088797,0.9372209821428571,0.7212691362271664,0.060368031250070314,0.6666666666666666,0.625,0.9642857142857143
RF_multi_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3182102681181266,0.9050925925925926,0.7029079440993282,0.10660309375007032,0.5555555555555556,0.75,0.8240740740740741
RF_multi_with_coords,random,True,Egernia mcpheei,128,3,0.11086796734567553,0.8600000000000001,0.12777777777777777,0.03048209375010938,0.0,0.0,0.976
RF_multi_with_coords,random,True,Eulamprus murrayi,128,1,0.12154440666057546,0.11023622047244097,0.0078125,0.008436859375226558,0.0,0.0,1.0
RF_multi_with_coords,random,True,Ophioscincus truncatus,128,26,0.44749629337544905,0.8256033182503771,0.5111896075817849,0.14380112500003905,0.5614035087719298,0.6153846153846154,0.8529411764705882
RF_multi_with_coords,random,True,Pseudechis porphyricaus,128,3,0.21904141175958636,0.3613333333333333,0.023879089237320943,0.03320970312507812,0.0,0.0,0.984
RF_multi_with_coords,random,True,Saltuarius swaini,128,1,0.05297266958408071,0.795275590551181,0.03571428571428571,0.009110531250078125,0.0,0.0,1.0
RF_multi_interactions_with_coords,random,True,Cacophis kreftii,128,4,0.10825053696339215,0.9516129032258064,0.6132478632478633,0.03348818750041406,0.4,0.5,0.967741935483871
RF_multi_interactions_with_coords,random,True,Calyptotis scutirostrum,128,16,0.19274765483600692,0.9481026785714286,0.6847084407734079,0.06234253125014844,0.6451612903225806,0.625,0.9553571428571429
RF_multi_interactions_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3350422137908383,0.89375,0.679955842768343,0.1102120937500625,0.5555555555555556,0.75,0.8240740740740741
RF_multi_interactions_with_coords,random,True,Egernia mcpheei,128,3,0.11597819923147731,0.8373333333333333,0.10261343594676928,0.03189631250024219,0.0,0.0,0.984
RF_multi_interactions_with_coords,random,True,Eulamprus murrayi,128,1,0.05383907747555696,0.6889763779527559,0.022222222222222223,0.008569562500445315,0.0,0.0,1.0
RF_multi_interactions_with_coords,random,True,Ophioscincus truncatus,128,26,0.46606700265296225,0.816553544494721,0.4944893301877828,0.14924593750003906,0.5263157894736842,0.5769230769230769,0.8431372549019608
RF_multi_interactions_with_coords,random,True,Pseudechis porphyricaus,128,3,0.22376612625113496,0.4853333333333333,0.0309854055258467,0.036517171875156254,0.0,0.0,0.976
RF_multi_interactions_with_coords,random,True,Saltuarius swaini,128,1,0.05777289092197186,0.7834645669291338,0.03225806451612903,0.010667125000109374,0.0,0.0,1.0
