coordinate_setting,model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
no_coords,XGBoost_multi_interactions_no_coords,Cacophis kreftii,random,128,8,999,0.07228591188569872,0.034
no_coords,XGBoost_multi_interactions_no_coords,Cacophis kreftii,spatial,128,8,999,0.10411632288748697,0.002
no_coords,XGBoost_multi_interactions_no_coords,Calyptotis scutirostrum,random,128,8,999,0.0693944455882123,0.077
no_coords,XGBoost_multi_interactions_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.2603751136230464,0.001
no_coords,XGBoost_multi_interactions_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.038730118849472445,0.335
no_coords,XGBoost_multi_interactions_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.24460364819234276,0.001
no_coords,XGBoost_multi_interactions_no_coords,Egernia mcpheei,random,128,8,999,0.04182643472303782,0.174
no_coords,XGBoost_multi_interactions_no_coords,Egernia mcpheei,spatial,128,8,999,-0.019693754987100055,0.61
no_coords,XGBoost_multi_interactions_no_coords,Eulamprus murrayi,random,128,8,999,0.0035349745179583613,0.724
no_coords,XGBoost_multi_interactions_no_coords,Eulamprus murrayi,spatial,128,8,999,0.2621133263149238,0.001
no_coords,XGBoost_multi_interactions_no_coords,Ophioscincus truncatus,random,128,8,999,0.08800027758607011,0.024
no_coords,XGBoost_multi_interactions_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.19977940976718828,0.001
no_coords,XGBoost_multi_interactions_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.009739171335180976,0.94
no_coords,XGBoost_multi_interactions_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.007959667840743248,0.74
no_coords,XGBoost_multi_interactions_no_coords,Saltuarius swaini,random,128,8,999,-0.0025183152026761395,0.788
no_coords,XGBoost_multi_interactions_no_coords,Saltuarius swaini,spatial,128,8,999,0.31014877148284015,0.001
no_coords,XGBoost_single_no_coords,Cacophis kreftii,random,128,8,999,0.08511758501103438,0.029
no_coords,XGBoost_single_no_coords,Cacophis kreftii,spatial,128,8,999,0.38575588964227564,0.001
no_coords,XGBoost_single_no_coords,Calyptotis scutirostrum,random,128,8,999,0.008122911369974072,0.845
no_coords,XGBoost_single_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.2959479648475814,0.001
no_coords,XGBoost_single_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.05041401314636991,0.202
no_coords,XGBoost_single_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.2555266606069935,0.001
no_coords,XGBoost_single_no_coords,Egernia mcpheei,random,128,8,999,0.014065397556388942,0.771
no_coords,XGBoost_single_no_coords,Egernia mcpheei,spatial,128,8,999,0.05169272234112261,0.154
no_coords,XGBoost_single_no_coords,Eulamprus murrayi,random,128,8,999,-0.002952755905511812,0.974
no_coords,XGBoost_single_no_coords,Eulamprus murrayi,spatial,128,8,999,0.1934792727645217,0.003
no_coords,XGBoost_single_no_coords,Ophioscincus truncatus,random,128,8,999,0.12497004149547535,0.002
no_coords,XGBoost_single_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.08862262732743739,0.029
no_coords,XGBoost_single_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.011790795872002288,0.643
no_coords,XGBoost_single_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.018433486415841242,0.348
no_coords,XGBoost_single_no_coords,Saltuarius swaini,random,128,8,999,0.0007675096260065147,0.933
no_coords,XGBoost_single_no_coords,Saltuarius swaini,spatial,128,8,999,0.43670301139695583,0.001
