coordinate_setting,model,species,random,spatial,optimism_gap_auc,morans_i
with_coords,XGBoost_multi_with_coords,Cacophis kreftii,0.9576612903225806,0.9606299212598425,-0.0029686309372618513,0.134030971316811
with_coords,XGBoost_multi_with_coords,Calyptotis scutirostrum,0.9274553571428571,0.7311036789297659,0.19635167821309119,0.2357388931532245
with_coords,XGBoost_multi_with_coords,Coeranoscincus reticulatus,0.8773148148148148,0.8048295454545454,0.07248526936026933,0.30643718717820023
with_coords,XGBoost_multi_with_coords,Egernia mcpheei,0.8666666666666667,0.6926229508196722,0.17404371584699452,-0.012078548858446912
with_coords,XGBoost_multi_with_coords,Eulamprus murrayi,0.14960629921259844,,,0.19232462096549524
with_coords,XGBoost_multi_with_coords,Ophioscincus truncatus,0.8250377073906485,0.7752508361204014,0.04978687127024717,0.24181978903845466
with_coords,XGBoost_multi_with_coords,Pseudechis porphyricaus,0.5386666666666666,0.6984126984126984,-0.15974603174603175,-0.018251413216216646
with_coords,XGBoost_multi_with_coords,Saltuarius swaini,0.8582677165354331,,,0.40912326946668354
with_coords,XGBoost_single_with_coords,Cacophis kreftii,0.9556451612903226,0.9291338582677166,0.02651130302260607,0.35069420220340364
with_coords,XGBoost_single_with_coords,Calyptotis scutirostrum,0.9430803571428571,0.8250836120401338,0.11799674510272329,0.1844970124829908
with_coords,XGBoost_single_with_coords,Coeranoscincus reticulatus,0.8893518518518518,0.7855113636363636,0.10384048821548819,0.34534809596576926
with_coords,XGBoost_single_with_coords,Egernia mcpheei,0.88,0.6441256830601093,0.2358743169398907,0.004620275397596705
with_coords,XGBoost_single_with_coords,Eulamprus murrayi,0.5,,,0.21950992721236195
with_coords,XGBoost_single_with_coords,Ophioscincus truncatus,0.8122171945701357,0.8451505016722408,-0.03293330710210507,0.13861481755369678
with_coords,XGBoost_single_with_coords,Pseudechis porphyricaus,0.6426666666666667,0.8452380952380952,-0.2025714285714285,-0.02077198365394342
with_coords,XGBoost_single_with_coords,Saltuarius swaini,0.8740157480314961,,,0.8441809575580087
