model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_interactions_no_coords,random,False,1,1,0.8,0.03,3,100,0.8,824,51,0.163772815234698,0.8658651041270324,0.4471989079968759,0.04424087340151445,0.03773584905660377,0.0196078431372549,0.9987063389391979
XGBoost_multi_interactions_no_coords,random,False,1,2,0.8,0.03,3,100,0.8,824,51,0.18127001967175943,0.8329655277376151,0.2924706277319649,0.049893662785209604,0.12698412698412698,0.0784313725490196,0.9896507115135834
XGBoost_multi_interactions_no_coords,random,False,1,3,0.8,0.03,3,100,0.8,824,53,0.17055449635671815,0.8996769693855078,0.39989558546679793,0.04803462327309393,0.0,0.0,0.9987029831387808
XGBoost_multi_interactions_no_coords,random,False,1,4,0.8,0.03,3,100,0.8,816,48,0.15472566806067745,0.9102105034722221,0.48060457322558997,0.04213127142774555,0.04081632653061224,0.020833333333333332,1.0
XGBoost_multi_interactions_no_coords,random,False,1,5,0.8,0.03,3,100,0.8,816,48,0.15562772269772937,0.8907606336805556,0.4918422331480436,0.04154682167285071,0.18867924528301888,0.10416666666666667,1.0
XGBoost_multi_interactions_no_coords,random,False,2,1,0.8,0.03,3,100,1.0,824,51,0.16909280798545523,0.857900210536996,0.4252149566611772,0.0457970150096238,0.03773584905660377,0.0196078431372549,0.9987063389391979
XGBoost_multi_interactions_no_coords,random,False,2,2,0.8,0.03,3,100,1.0,824,51,0.18411543424864335,0.8338026025416635,0.26794782262245104,0.050861133203699185,0.0,0.0,0.9974126778783958
XGBoost_multi_interactions_no_coords,random,False,2,3,0.8,0.03,3,100,1.0,824,53,0.16880310604919044,0.9072143503903287,0.40035686106374274,0.04788120132700378,0.03636363636363636,0.018867924528301886,0.9987029831387808
XGBoost_multi_interactions_no_coords,random,False,2,4,0.8,0.03,3,100,1.0,816,48,0.15670096984603463,0.9069959852430556,0.4494944646726663,0.042782553996767676,0.11538461538461539,0.0625,0.9986979166666666
XGBoost_multi_interactions_no_coords,random,False,2,5,0.8,0.03,3,100,1.0,816,48,0.15807918676121677,0.882107204861111,0.4865962425414878,0.04232613613484411,0.08,0.041666666666666664,1.0
XGBoost_multi_interactions_no_coords,random,False,3,1,0.8,0.03,3,300,0.8,824,51,0.1578113678966703,0.8732212160413971,0.46468967968055047,0.04231294271539079,0.3283582089552239,0.21568627450980393,0.9935316946959897
XGBoost_multi_interactions_no_coords,random,False,3,2,0.8,0.03,3,300,0.8,824,51,0.17969281236666074,0.8375821221114578,0.3203455548902274,0.049147702516012304,0.3076923076923077,0.23529411764705882,0.9805950840879689
XGBoost_multi_interactions_no_coords,random,False,3,3,0.8,0.03,3,300,0.8,824,53,0.16575803513964368,0.9040696963022784,0.3957869608829212,0.04752333447939623,0.21212121212121213,0.1320754716981132,0.9922178988326849
XGBoost_multi_interactions_no_coords,random,False,3,4,0.8,0.03,3,300,0.8,816,48,0.14392036002519792,0.9123806423611112,0.5147034240418952,0.039697508520292475,0.3939393939393939,0.2708333333333333,0.9934895833333334
XGBoost_multi_interactions_no_coords,random,False,3,5,0.8,0.03,3,300,0.8,816,48,0.1469659036386332,0.8894314236111112,0.5084795433832032,0.03946561805033856,0.4444444444444444,0.3333333333333333,0.9895833333333334
XGBoost_multi_interactions_no_coords,random,False,4,1,0.8,0.03,3,300,1.0,824,51,0.16471770788707019,0.8601704588691881,0.43379657833893465,0.044253474415624376,0.19672131147540983,0.11764705882352941,0.9948253557567918
XGBoost_multi_interactions_no_coords,random,False,4,2,0.8,0.03,3,300,1.0,824,51,0.1825180087512613,0.8394465159932019,0.29384864232538693,0.05065912239847397,0.24324324324324326,0.17647058823529413,0.981888745148771
XGBoost_multi_interactions_no_coords,random,False,4,3,0.8,0.03,3,300,1.0,824,53,0.16379941905133633,0.9078506228128137,0.4128835150928309,0.047299565252591755,0.24242424242424243,0.1509433962264151,0.993514915693904
XGBoost_multi_interactions_no_coords,random,False,4,4,0.8,0.03,3,300,1.0,816,48,0.14785470014510352,0.9093695746527778,0.4862703761411614,0.04053964459450784,0.23333333333333334,0.14583333333333334,0.9934895833333334
XGBoost_multi_interactions_no_coords,random,False,4,5,0.8,0.03,3,300,1.0,816,48,0.1490513138445737,0.889377170138889,0.5230071850879582,0.039908116671937624,0.4,0.2708333333333333,0.9947916666666666
XGBoost_multi_interactions_no_coords,random,False,5,1,0.8,0.03,5,100,0.8,824,51,0.1577775405902881,0.8805265961494559,0.47820872878259585,0.04248658218852401,0.3076923076923077,0.19607843137254902,0.9948253557567918
XGBoost_multi_interactions_no_coords,random,False,5,2,0.8,0.03,5,100,0.8,824,51,0.1757316027213625,0.8455723816046469,0.3234824853847093,0.048529435101199,0.20588235294117646,0.13725490196078433,0.9870633893919794
XGBoost_multi_interactions_no_coords,random,False,5,3,0.8,0.03,5,100,0.8,824,53,0.16910087135451915,0.902442307221692,0.3864547946184183,0.047974212364496345,0.208955223880597,0.1320754716981132,0.9909208819714657
XGBoost_multi_interactions_no_coords,random,False,5,4,0.8,0.03,5,100,0.8,816,48,0.1457308487332989,0.9070502387152778,0.5466893448175818,0.03923091454790515,0.375,0.25,0.9947916666666666
XGBoost_multi_interactions_no_coords,random,False,5,5,0.8,0.03,5,100,0.8,816,48,0.14835455503628048,0.8867051866319444,0.49572991922152415,0.03973506840695803,0.3333333333333333,0.22916666666666666,0.9908854166666666
XGBoost_multi_interactions_no_coords,random,False,6,1,0.8,0.03,5,100,1.0,824,51,0.16295777783380525,0.8678816934276945,0.4328602504488664,0.04409938487318818,0.2857142857142857,0.17647058823529413,0.9961190168175937
XGBoost_multi_interactions_no_coords,random,False,6,2,0.8,0.03,5,100,1.0,824,51,0.1786005580924571,0.8405752986835097,0.30314072220228316,0.049404518707628436,0.2028985507246377,0.13725490196078433,0.9857697283311773
XGBoost_multi_interactions_no_coords,random,False,6,3,0.8,0.03,5,100,1.0,824,53,0.16761532766052228,0.9045713726353914,0.3888564540555088,0.047943213811495716,0.20588235294117646,0.1320754716981132,0.9896238651102465
XGBoost_multi_interactions_no_coords,random,False,6,4,0.8,0.03,5,100,1.0,816,48,0.1472863747397321,0.9065077039930556,0.5066621491958171,0.03985884470070765,0.21052631578947367,0.125,0.99609375
XGBoost_multi_interactions_no_coords,random,False,6,5,0.8,0.03,5,100,1.0,816,48,0.1498002968556711,0.8861490885416665,0.4967651801017857,0.04014752723617825,0.29508196721311475,0.1875,0.9947916666666666
XGBoost_multi_interactions_no_coords,random,False,7,1,0.8,0.03,5,300,0.8,824,51,0.15595744621516724,0.8822261116607056,0.4618134821878652,0.04205691037671698,0.44155844155844154,0.3333333333333333,0.9883570504527813
XGBoost_multi_interactions_no_coords,random,False,7,2,0.8,0.03,5,300,0.8,824,51,0.18038624236708756,0.8476777515663445,0.3330809042197007,0.04902750475278503,0.3291139240506329,0.2549019607843137,0.9805950840879689
XGBoost_multi_interactions_no_coords,random,False,7,3,0.8,0.03,5,300,0.8,824,53,0.16849301995757185,0.8969483395736975,0.38555348298490866,0.048317150126656834,0.2702702702702703,0.18867924528301888,0.9857328145265889
XGBoost_multi_interactions_no_coords,random,False,7,4,0.8,0.03,5,300,0.8,816,48,0.13819548763279435,0.9139539930555556,0.5397402938023778,0.03816392939660574,0.42105263157894735,0.3333333333333333,0.984375
XGBoost_multi_interactions_no_coords,random,False,7,5,0.8,0.03,5,300,0.8,816,48,0.14446029318747125,0.889621310763889,0.5138788063282305,0.03863838183006555,0.4383561643835616,0.3333333333333333,0.98828125
XGBoost_multi_interactions_no_coords,random,False,8,1,0.8,0.03,5,300,1.0,824,51,0.16147331241363422,0.8723968241889253,0.4379570106581866,0.04342960203332835,0.3561643835616438,0.2549019607843137,0.9883570504527813
XGBoost_multi_interactions_no_coords,random,False,8,2,0.8,0.03,5,300,1.0,824,51,0.18100491909589875,0.8489714126271466,0.31861125938816504,0.05000941742564684,0.3076923076923077,0.23529411764705882,0.9805950840879689
XGBoost_multi_interactions_no_coords,random,False,8,3,0.8,0.03,5,300,1.0,824,53,0.16800105768223167,0.8956023786799795,0.3802246024765075,0.04832056786737887,0.25,0.16981132075471697,0.9870298313878081
XGBoost_multi_interactions_no_coords,random,False,8,4,0.8,0.03,5,300,1.0,816,48,0.14221648451473948,0.9086100260416666,0.5128669516824242,0.03895633398169414,0.4657534246575342,0.3541666666666667,0.9895833333333334
