model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_interactions_no_coords,spatial,False,1,1,0.8,0.03,3,100,0.8,824,50,0.16425576781956422,0.9060335917312661,0.4131194860835133,0.045732780258860496,0.14814814814814814,0.08,1.0
XGBoost_multi_interactions_no_coords,spatial,False,1,2,0.8,0.03,3,100,0.8,824,52,0.1690461697901105,0.8811777600637705,0.4585524212944681,0.04640545580943755,0.03773584905660377,0.019230769230769232,1.0
XGBoost_multi_interactions_no_coords,spatial,False,1,3,0.8,0.03,3,100,0.8,816,48,0.18648851123482588,0.8067491319444444,0.22211128513711054,0.05035879667326129,0.038461538461538464,0.020833333333333332,0.99609375
XGBoost_multi_interactions_no_coords,spatial,False,1,4,0.8,0.03,3,100,0.8,816,49,0.16588445042226635,0.885081020674241,0.4187023636456754,0.04571834644603387,0.0,0.0,1.0
XGBoost_multi_interactions_no_coords,spatial,False,1,5,0.8,0.03,3,100,0.8,824,51,0.17849669047462038,0.8538923978388251,0.32705260232991323,0.04904298305282925,0.07272727272727272,0.0392156862745098,0.9974126778783958
XGBoost_multi_interactions_no_coords,spatial,False,2,1,0.8,0.03,3,100,1.0,824,50,0.16586769283035183,0.9007105943152454,0.3910864518063774,0.0462643502858572,0.11320754716981132,0.06,1.0
XGBoost_multi_interactions_no_coords,spatial,False,2,2,0.8,0.03,3,100,1.0,824,52,0.16956449547175725,0.8852381426863293,0.4893937542693183,0.04655261930627938,0.0,0.0,1.0
XGBoost_multi_interactions_no_coords,spatial,False,2,3,0.8,0.03,3,100,1.0,816,48,0.18519760832362556,0.8120524088541666,0.21944848618762186,0.050144491147263805,0.038461538461538464,0.020833333333333332,0.99609375
XGBoost_multi_interactions_no_coords,spatial,False,2,4,0.8,0.03,3,100,1.0,816,49,0.1669277812616537,0.8859723811297662,0.41382987697812884,0.046089010645646813,0.0,0.0,1.0
XGBoost_multi_interactions_no_coords,spatial,False,2,5,0.8,0.03,3,100,1.0,824,51,0.18132663277151653,0.8435431093524085,0.31414157632110723,0.049549363174079,0.07272727272727272,0.0392156862745098,0.9974126778783958
XGBoost_multi_interactions_no_coords,spatial,False,3,1,0.8,0.03,3,300,0.8,824,50,0.14764804937139014,0.9171834625322998,0.4838704027559032,0.04197160867138441,0.2413793103448276,0.14,0.9987080103359173
XGBoost_multi_interactions_no_coords,spatial,False,3,2,0.8,0.03,3,300,0.8,824,52,0.16141056616560268,0.8807293742526903,0.47124678427448563,0.04426807140661996,0.2033898305084746,0.11538461538461539,0.9987046632124352
XGBoost_multi_interactions_no_coords,spatial,False,3,3,0.8,0.03,3,300,0.8,816,48,0.1821090220838595,0.8253445095486112,0.27340699905375027,0.04904766866315003,0.07142857142857142,0.041666666666666664,0.9921875
XGBoost_multi_interactions_no_coords,spatial,False,3,4,0.8,0.03,3,300,0.8,816,49,0.15712567959050389,0.8892052257669691,0.4269073398963312,0.04366982902577191,0.17857142857142858,0.10204081632653061,0.9973924380704041
XGBoost_multi_interactions_no_coords,spatial,False,3,5,0.8,0.03,3,300,0.8,824,51,0.17271598469406907,0.8557948405752988,0.3692522816009755,0.047384264137857166,0.1935483870967742,0.11764705882352941,0.9935316946959897
XGBoost_multi_interactions_no_coords,spatial,False,4,1,0.8,0.03,3,300,1.0,824,50,0.15262216082345806,0.9098966408268734,0.4543776598226341,0.043394143657349206,0.17857142857142858,0.1,0.9987080103359173
XGBoost_multi_interactions_no_coords,spatial,False,4,2,0.8,0.03,3,300,1.0,824,52,0.16218708192138367,0.879845057791949,0.4863262102408067,0.04442253368968213,0.14035087719298245,0.07692307692307693,0.9987046632124352
XGBoost_multi_interactions_no_coords,spatial,False,4,3,0.8,0.03,3,300,1.0,816,48,0.18072198065946282,0.8323432074652779,0.2538419643093992,0.049172837285127544,0.07407407407407407,0.041666666666666664,0.9947916666666666
XGBoost_multi_interactions_no_coords,spatial,False,4,4,0.8,0.03,3,300,1.0,816,49,0.15907362429968208,0.8893914801905117,0.3951403817271623,0.04464307958671945,0.17857142857142858,0.10204081632653061,0.9973924380704041
