model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_interactions_with_coords,random,True,1,1,0.8,0.03,3,100,0.8,824,51,0.15516048683007894,0.8891129543667402,0.4803479198984916,0.042580073580254375,0.10526315789473684,0.058823529411764705,0.9961190168175937
XGBoost_multi_interactions_with_coords,random,True,1,2,0.8,0.03,3,100,0.8,824,51,0.17678870712992265,0.8460416508129773,0.30992930792587553,0.04874669312253734,0.1791044776119403,0.11764705882352941,0.9870633893919794
XGBoost_multi_interactions_with_coords,random,True,1,3,0.8,0.03,3,100,0.8,824,53,0.16241984551817765,0.8997381494261313,0.45129522051791315,0.045452959446986844,0.10526315789473684,0.05660377358490566,0.9987029831387808
XGBoost_multi_interactions_with_coords,random,True,1,4,0.8,0.03,3,100,0.8,816,48,0.13968298532968904,0.9331732855902779,0.4756061954733571,0.039177464141104394,0.0784313725490196,0.041666666666666664,0.9986979166666666
XGBoost_multi_interactions_with_coords,random,True,1,5,0.8,0.03,3,100,0.8,816,48,0.15127987950351873,0.8989393446180556,0.505336688379199,0.04124047801846066,0.18867924528301888,0.10416666666666667,1.0
XGBoost_multi_interactions_with_coords,random,True,2,1,0.8,0.03,3,100,1.0,824,51,0.15737334316598578,0.889544174720341,0.45262927653759466,0.043548649145276175,0.038461538461538464,0.0196078431372549,1.0
XGBoost_multi_interactions_with_coords,random,True,2,2,0.8,0.03,3,100,1.0,824,51,0.1763427014933585,0.8514319052329858,0.31906682725979446,0.048818762339803715,0.1791044776119403,0.11764705882352941,0.9870633893919794
XGBoost_multi_interactions_with_coords,random,True,2,3,0.8,0.03,3,100,1.0,824,53,0.16107910031449524,0.9026870273841862,0.47188439938845483,0.04490545600792249,0.07017543859649122,0.03773584905660377,0.9974059662775616
XGBoost_multi_interactions_with_coords,random,True,2,4,0.8,0.03,3,100,1.0,816,48,0.13966585815700605,0.9356553819444444,0.4925691312465546,0.039242829742364975,0.08,0.041666666666666664,1.0
XGBoost_multi_interactions_with_coords,random,True,2,5,0.8,0.03,3,100,1.0,816,48,0.15193792611498835,0.8985188802083334,0.49452570723585076,0.04158461789402738,0.11764705882352941,0.0625,1.0
XGBoost_multi_interactions_with_coords,random,True,3,1,0.8,0.03,3,300,0.8,824,51,0.1453949237832371,0.8997285848362631,0.5161403006193527,0.03977952346435681,0.4,0.27450980392156865,0.9935316946959897
XGBoost_multi_interactions_with_coords,random,True,3,2,0.8,0.03,3,300,0.8,824,51,0.1703258096379292,0.8678436445729651,0.3464561653575487,0.047808732246279566,0.2972972972972973,0.21568627450980393,0.9844760672703752
XGBoost_multi_interactions_with_coords,random,True,3,3,0.8,0.03,3,300,0.8,824,53,0.15711436289430214,0.9080341629346842,0.45324380893837235,0.04507056764009029,0.2647058823529412,0.16981132075471697,0.9922178988326849
XGBoost_multi_interactions_with_coords,random,True,3,4,0.8,0.03,3,300,0.8,816,48,0.1253984054491326,0.9437527126736112,0.5462030643628931,0.03585317073855836,0.4810126582278481,0.3958333333333333,0.984375
XGBoost_multi_interactions_with_coords,random,True,3,5,0.8,0.03,3,300,0.8,816,48,0.14088806131529863,0.9063585069444444,0.5242796842531228,0.03941396514852438,0.42857142857142855,0.3125,0.9908854166666666
XGBoost_multi_interactions_with_coords,random,True,4,1,0.8,0.03,3,300,1.0,824,51,0.15303774349232369,0.8890622225604343,0.45255583453602705,0.042427333800268266,0.2727272727272727,0.17647058823529413,0.9922380336351876
XGBoost_multi_interactions_with_coords,random,True,4,2,0.8,0.03,3,300,1.0,824,51,0.17403752752167378,0.8563909392993938,0.3165920859749784,0.0490000031657328,0.25,0.17647058823529413,0.9844760672703752
XGBoost_multi_interactions_with_coords,random,True,4,3,0.8,0.03,3,300,1.0,824,53,0.154789600324229,0.9113256491202311,0.4455662254767634,0.04457581839758847,0.2608695652173913,0.16981132075471697,0.9909208819714657
XGBoost_multi_interactions_with_coords,random,True,4,4,0.8,0.03,3,300,1.0,816,48,0.12975341284692368,0.9394124348958334,0.5118976554034341,0.03714514291534656,0.39436619718309857,0.2916666666666667,0.98828125
