model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_interactions_with_coords,spatial,True,1,1,0.8,0.03,3,100,0.8,824,48,0.1562506062806834,0.886060996563574,0.4677802076144407,0.04200592704371008,0.2545454545454545,0.14583333333333334,1.0
XGBoost_multi_interactions_with_coords,spatial,True,1,2,0.8,0.03,3,100,0.8,824,49,0.16136012682035442,0.8661487820934826,0.40769085705822333,0.04382422593406013,0.07547169811320754,0.04081632653061224,0.9974193548387097
XGBoost_multi_interactions_with_coords,spatial,True,1,3,0.8,0.03,3,100,0.8,816,53,0.15829859407756905,0.9010113998862483,0.4992835059136654,0.04447836493715039,0.07142857142857142,0.03773584905660377,0.9986893840104849
XGBoost_multi_interactions_with_coords,spatial,True,1,4,0.8,0.03,3,100,0.8,816,45,0.14558567738582412,0.8987318057356968,0.42088438290616303,0.03981817405676844,0.21818181818181817,0.13333333333333333,0.9948119325551232
XGBoost_multi_interactions_with_coords,spatial,True,1,5,0.8,0.03,3,100,0.8,824,55,0.16356412582882796,0.8966308074240453,0.5516240097853744,0.04523442789890883,0.19672131147540983,0.10909090909090909,1.0
XGBoost_multi_interactions_with_coords,spatial,True,2,1,0.8,0.03,3,100,1.0,824,48,0.15818758911475161,0.8806110395189004,0.4334430973689895,0.04293621422806911,0.2545454545454545,0.14583333333333334,1.0
XGBoost_multi_interactions_with_coords,spatial,True,2,2,0.8,0.03,3,100,1.0,824,49,0.16355609605958876,0.8637393021724818,0.3750404526796054,0.04470452037491589,0.0392156862745098,0.02040816326530612,0.9987096774193548
XGBoost_multi_interactions_with_coords,spatial,True,2,3,0.8,0.03,3,100,1.0,816,53,0.1607969700252067,0.9046588689136724,0.4862242254978787,0.045521801530370276,0.07142857142857142,0.03773584905660377,0.9986893840104849
XGBoost_multi_interactions_with_coords,spatial,True,2,4,0.8,0.03,3,100,1.0,816,45,0.14677928570069326,0.903401066436086,0.42467720984499074,0.0401982860750287,0.1509433962264151,0.08888888888888889,0.9948119325551232
XGBoost_multi_interactions_with_coords,spatial,True,2,5,0.8,0.03,3,100,1.0,824,55,0.1691230941247512,0.8857902825393071,0.5090570675515835,0.047041620220219287,0.13559322033898305,0.07272727272727272,1.0
XGBoost_multi_interactions_with_coords,spatial,True,3,1,0.8,0.03,3,300,0.8,824,48,0.14456721853526128,0.9029478092783506,0.5039908118563519,0.039962787846563604,0.38235294117647056,0.2708333333333333,0.990979381443299
XGBoost_multi_interactions_with_coords,spatial,True,3,2,0.8,0.03,3,300,0.8,824,49,0.1558817169355363,0.8768268597761685,0.4170451612577429,0.0426587223785183,0.28125,0.1836734693877551,0.9922580645161291
XGBoost_multi_interactions_with_coords,spatial,True,3,3,0.8,0.03,3,300,0.8,816,53,0.14939851042806296,0.9053883627191572,0.5300470776792876,0.04167810386690899,0.35135135135135137,0.24528301886792453,0.9895150720838795
XGBoost_multi_interactions_with_coords,spatial,True,3,4,0.8,0.03,3,300,0.8,816,45,0.13152202112153583,0.9222078109237642,0.5019279676805565,0.0367279951503577,0.4,0.28888888888888886,0.9909208819714657
XGBoost_multi_interactions_with_coords,spatial,True,3,5,0.8,0.03,3,300,0.8,824,55,0.15409442007077648,0.9042912873862159,0.5597162101863141,0.04260024312114738,0.34285714285714286,0.21818181818181817,0.9960988296488946
XGBoost_multi_interactions_with_coords,spatial,True,4,1,0.8,0.03,3,300,1.0,824,48,0.1505943731600777,0.890222293814433,0.4719109193273147,0.041600756025343494,0.29508196721311475,0.1875,0.9948453608247423
XGBoost_multi_interactions_with_coords,spatial,True,4,2,0.8,0.03,3,300,1.0,824,49,0.15757303367515357,0.8796313364055299,0.393910268150454,0.04376174494395421,0.20689655172413793,0.12244897959183673,0.9961290322580645
XGBoost_multi_interactions_with_coords,spatial,True,4,3,0.8,0.03,3,300,1.0,816,53,0.15296125746304481,0.9013699646380969,0.5113452730168174,0.04285861395389146,0.26865671641791045,0.16981132075471697,0.9934469200524246
XGBoost_multi_interactions_with_coords,spatial,True,4,4,0.8,0.03,3,300,1.0,816,45,0.13656437639683444,0.9116155065571407,0.4864001187847488,0.03769860808475054,0.32786885245901637,0.2222222222222222,0.9922178988326849
XGBoost_multi_interactions_with_coords,spatial,True,4,5,0.8,0.03,3,300,1.0,824,55,0.16001576540843931,0.8910391299207945,0.5296664814333676,0.04437065743558176,0.2727272727272727,0.16363636363636364,0.9973992197659298
XGBoost_multi_interactions_with_coords,spatial,True,5,1,0.8,0.03,5,100,0.8,824,48,0.14610397595871993,0.8951353092783505,0.5107138690475678,0.039568779230868024,0.375,0.25,0.9948453608247423
XGBoost_multi_interactions_with_coords,spatial,True,5,2,0.8,0.03,5,100,0.8,824,49,0.1546321957333709,0.8819223173140224,0.424799433504266,0.04247297272742524,0.2857142857142857,0.1836734693877551,0.9935483870967742
XGBoost_multi_interactions_with_coords,spatial,True,5,3,0.8,0.03,5,100,0.8,816,53,0.15036214593513106,0.9093449392912782,0.529912409959399,0.04248246090755615,0.3561643835616438,0.24528301886792453,0.9908256880733946
XGBoost_multi_interactions_with_coords,spatial,True,5,4,0.8,0.03,5,100,0.8,816,45,0.13171918771960545,0.9233030696065716,0.4987515734964391,0.03643683102835486,0.417910447761194,0.3111111111111111,0.9896238651102465
