model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_no_coords,random,False,1,1,0.8,0.03,3,100,0.8,824,51,0.1710971074015926,0.859396798823022,0.4186652687132705,0.04635729310248354,0.03773584905660377,0.0196078431372549,0.9987063389391979
XGBoost_multi_no_coords,random,False,1,2,0.8,0.03,3,100,0.8,824,51,0.1870339193653849,0.8208659919336427,0.2598026753793761,0.05104615191903279,0.0,0.0,0.9974126778783958
XGBoost_multi_no_coords,random,False,1,3,0.8,0.03,3,100,0.8,824,53,0.17177541222975956,0.8975356679636834,0.40831056099429996,0.048291946581043584,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,1,4,0.8,0.03,3,100,0.8,816,48,0.16117237405029564,0.8871799045138888,0.44820589039745856,0.0435437554540103,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,1,5,0.8,0.03,3,100,0.8,816,48,0.15653657704710233,0.898952907986111,0.49573820005342606,0.04219623982620014,0.11764705882352941,0.0625,1.0
XGBoost_multi_no_coords,random,False,2,1,0.8,0.03,3,100,1.0,824,51,0.17257084015811042,0.858204601374832,0.41904168994588126,0.046894089995786606,0.03773584905660377,0.0196078431372549,0.9987063389391979
XGBoost_multi_no_coords,random,False,2,2,0.8,0.03,3,100,1.0,824,51,0.1882723795224204,0.8216777008345382,0.27031278775358425,0.051131607313861724,0.0,0.0,0.9987063389391979
XGBoost_multi_no_coords,random,False,2,3,0.8,0.03,3,100,1.0,824,53,0.17142790019541143,0.8985512566380344,0.4076279796880025,0.048365564836170764,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,2,4,0.8,0.03,3,100,1.0,816,48,0.16458192091475177,0.8791639539930556,0.4278343625939422,0.04433354421949308,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,2,5,0.8,0.03,3,100,1.0,816,48,0.1586253324491512,0.8942328559027778,0.4961799467376235,0.04282052107329859,0.04081632653061224,0.020833333333333332,1.0
XGBoost_multi_no_coords,random,False,3,1,0.8,0.03,3,300,0.8,824,51,0.15966122967639887,0.8756817086472364,0.4596751801583774,0.04325190645032129,0.2,0.11764705882352941,0.9961190168175937
XGBoost_multi_no_coords,random,False,3,2,0.8,0.03,3,300,0.8,824,51,0.1834764570367963,0.8310630850011415,0.2948924455722073,0.05003358360159468,0.1791044776119403,0.11764705882352941,0.9870633893919794
XGBoost_multi_no_coords,random,False,3,3,0.8,0.03,3,300,0.8,824,53,0.1651703352199176,0.897853804174926,0.40436100782236867,0.04726997046837611,0.1016949152542373,0.05660377358490566,0.9961089494163424
XGBoost_multi_no_coords,random,False,3,4,0.8,0.03,3,300,0.8,816,48,0.14899808530017278,0.9049207899305556,0.463757545012766,0.04095036856544807,0.23728813559322035,0.14583333333333334,0.9947916666666666
XGBoost_multi_no_coords,random,False,3,5,0.8,0.03,3,300,0.8,816,48,0.14677304606953298,0.8963758680555557,0.519721967290633,0.03972095555031403,0.3050847457627119,0.1875,0.9973958333333334
XGBoost_multi_no_coords,random,False,4,1,0.8,0.03,3,300,1.0,824,51,0.16547449498268665,0.8683890114907541,0.4189634572331252,0.04514685891187534,0.14285714285714285,0.0784313725490196,0.9987063389391979
XGBoost_multi_no_coords,random,False,4,2,0.8,0.03,3,300,1.0,824,51,0.1865617846963592,0.8269791745935114,0.2884160670586759,0.050536893848499825,0.21212121212121213,0.13725490196078433,0.9896507115135834
XGBoost_multi_no_coords,random,False,4,3,0.8,0.03,3,300,1.0,824,53,0.16400161599011778,0.9035190759366665,0.39850346768222483,0.04742963988288128,0.1016949152542373,0.05660377358490566,0.9961089494163424
XGBoost_multi_no_coords,random,False,4,4,0.8,0.03,3,300,1.0,816,48,0.15662550065457875,0.8917643229166666,0.4349066689132733,0.04266206343800584,0.21052631578947367,0.125,0.99609375
XGBoost_multi_no_coords,random,False,4,5,0.8,0.03,3,300,1.0,816,48,0.15003010941616912,0.8915473090277777,0.530188021406977,0.04022221365668988,0.25,0.14583333333333334,0.9986979166666666
XGBoost_multi_no_coords,random,False,5,1,0.8,0.03,5,100,0.8,824,51,0.15929245878436032,0.8796134236359485,0.4613623643209038,0.04341386767914501,0.2,0.11764705882352941,0.9961190168175937
XGBoost_multi_no_coords,random,False,5,2,0.8,0.03,5,100,0.8,824,51,0.18048027150138593,0.8412601780686402,0.3009521940850155,0.049853729471068614,0.12903225806451613,0.0784313725490196,0.9909443725743855
XGBoost_multi_no_coords,random,False,5,3,0.8,0.03,5,100,0.8,824,53,0.16734391218310488,0.9070552822847074,0.3920994103636233,0.04788228077539087,0.1,0.05660377358490566,0.9948119325551232
XGBoost_multi_no_coords,random,False,5,4,0.8,0.03,5,100,0.8,816,48,0.1480374995545828,0.905300564236111,0.5277670716002808,0.03988229936265815,0.18518518518518517,0.10416666666666667,0.9986979166666666
XGBoost_multi_no_coords,random,False,5,5,0.8,0.03,5,100,0.8,816,48,0.14655050612271,0.8998480902777778,0.5308917864081201,0.03923592769388235,0.26666666666666666,0.16666666666666666,0.9947916666666666
XGBoost_multi_no_coords,random,False,6,1,0.8,0.03,5,100,1.0,824,51,0.16162066293763658,0.8717880425132536,0.4532844181416427,0.043717669069612886,0.1694915254237288,0.09803921568627451,0.9961190168175937
XGBoost_multi_no_coords,random,False,6,2,0.8,0.03,5,100,1.0,824,51,0.1803982273624151,0.8470689698906729,0.293486489365502,0.05020534847195994,0.09523809523809523,0.058823529411764705,0.9883570504527813
XGBoost_multi_no_coords,random,False,6,3,0.8,0.03,5,100,1.0,824,53,0.1665111510615867,0.9027971514573087,0.3943749809833783,0.047590993072926295,0.07017543859649122,0.03773584905660377,0.9974059662775616
XGBoost_multi_no_coords,random,False,6,4,0.8,0.03,5,100,1.0,816,48,0.15058398398414988,0.8971218532986112,0.47989661464608757,0.04071716836739997,0.14814814814814814,0.08333333333333333,0.9973958333333334
XGBoost_multi_no_coords,random,False,6,5,0.8,0.03,5,100,1.0,816,48,0.15031534822736928,0.8939615885416667,0.5047068483512863,0.040374541072304454,0.18518518518518517,0.10416666666666667,0.9986979166666666
XGBoost_multi_no_coords,random,False,7,1,0.8,0.03,5,300,0.8,824,51,0.1542378822740699,0.8863353879714886,0.4662199270116841,0.041777507254670984,0.36619718309859156,0.2549019607843137,0.9909443725743855
XGBoost_multi_no_coords,random,False,7,2,0.8,0.03,5,300,0.8,824,51,0.1838385053099977,0.8431372549019608,0.31842919993956664,0.04988619769093273,0.2777777777777778,0.19607843137254902,0.9857697283311773
XGBoost_multi_no_coords,random,False,7,3,0.8,0.03,5,300,0.8,824,53,0.1649457856241926,0.9035068399285416,0.3830059616322117,0.04800374345211535,0.20588235294117646,0.1320754716981132,0.9896238651102465
XGBoost_multi_no_coords,random,False,7,4,0.8,0.03,5,300,0.8,816,48,0.13864526407370806,0.9144151475694445,0.5359743459561553,0.03829964359081584,0.48,0.375,0.98828125
XGBoost_multi_no_coords,random,False,7,5,0.8,0.03,5,300,0.8,816,48,0.1397094444673356,0.906467013888889,0.51555118822884,0.03816912688921017,0.36363636363636365,0.25,0.9921875
XGBoost_multi_no_coords,random,False,8,1,0.8,0.03,5,300,1.0,824,51,0.16019414642693874,0.8771402480785329,0.43796589186552337,0.0433068995788324,0.29411764705882354,0.19607843137254902,0.9909443725743855
XGBoost_multi_no_coords,random,False,8,2,0.8,0.03,5,300,1.0,824,51,0.18480879644691303,0.8424777414199833,0.3100819243701377,0.05011024983657927,0.30985915492957744,0.21568627450980393,0.9883570504527813
XGBoost_multi_no_coords,random,False,8,3,0.8,0.03,5,300,1.0,824,53,0.16241136074864002,0.9046814967085137,0.39157957327851234,0.04751042343846817,0.2647058823529412,0.16981132075471697,0.9922178988326849
XGBoost_multi_no_coords,random,False,8,4,0.8,0.03,5,300,1.0,816,48,0.14458401657961042,0.9058430989583334,0.4814351325949164,0.03996837598732023,0.4594594594594595,0.3541666666666667,0.98828125
XGBoost_multi_no_coords,random,False,8,5,0.8,0.03,5,300,1.0,816,48,0.14753142317480253,0.892361111111111,0.4834556049771205,0.03997781034082822,0.3076923076923077,0.20833333333333334,0.9908854166666666
XGBoost_multi_no_coords,random,False,9,1,0.8,0.1,3,100,0.8,824,51,0.15856869514432576,0.8813890368566573,0.4646555109283494,0.04314547043523898,0.2857142857142857,0.17647058823529413,0.9961190168175937
XGBoost_multi_no_coords,random,False,9,2,0.8,0.1,3,100,0.8,824,51,0.18244639465707527,0.8337518707353575,0.3067065014185065,0.04943162043738792,0.17647058823529413,0.11764705882352941,0.9857697283311773
XGBoost_multi_no_coords,random,False,9,3,0.8,0.1,3,100,0.8,824,53,0.16631234017607868,0.8980985243374201,0.39607650296294705,0.04763418803301971,0.13333333333333333,0.07547169811320754,0.9961089494163424
XGBoost_multi_no_coords,random,False,9,4,0.8,0.1,3,100,0.8,816,48,0.14873761688654089,0.9042426215277778,0.4661988767395518,0.0409713982441745,0.26229508196721313,0.16666666666666666,0.9934895833333334
XGBoost_multi_no_coords,random,False,9,5,0.8,0.1,3,100,0.8,816,48,0.1474556509466869,0.8910047743055557,0.5204325051187114,0.03952008371100261,0.34375,0.22916666666666666,0.9934895833333334
XGBoost_multi_no_coords,random,False,10,1,0.8,0.1,3,100,1.0,824,51,0.16518880429407165,0.8689977931664257,0.42465605399174344,0.04499956537730948,0.1724137931034483,0.09803921568627451,0.9974126778783958
XGBoost_multi_no_coords,random,False,10,2,0.8,0.1,3,100,1.0,824,51,0.18541159019823064,0.8288308855236791,0.3009163820943844,0.049983975619369306,0.2647058823529412,0.17647058823529413,0.9896507115135834
XGBoost_multi_no_coords,random,False,10,3,0.8,0.1,3,100,1.0,824,53,0.16492996250881842,0.9027726794410592,0.3861913433809591,0.04791240308308626,0.1,0.05660377358490566,0.9948119325551232
XGBoost_multi_no_coords,random,False,10,4,0.8,0.1,3,100,1.0,816,48,0.15465655505755974,0.8950737847222222,0.43273376725597124,0.04246051156655553,0.20689655172413793,0.125,0.9947916666666666
XGBoost_multi_no_coords,random,False,10,5,0.8,0.1,3,100,1.0,816,48,0.1507585227597433,0.8881022135416667,0.5273499985240049,0.0401149988731743,0.3103448275862069,0.1875,0.9986979166666666
XGBoost_multi_no_coords,random,False,11,1,0.8,0.1,3,300,0.8,824,51,0.15800272100274154,0.8844583111381681,0.46131257264075726,0.04249609677351384,0.34285714285714286,0.23529411764705882,0.9909443725743855
XGBoost_multi_no_coords,random,False,11,2,0.8,0.1,3,300,0.8,824,51,0.1906402374117159,0.8376582198209167,0.3151426387241966,0.05063690916299231,0.32,0.23529411764705882,0.9844760672703752
XGBoost_multi_no_coords,random,False,11,3,0.8,0.1,3,300,0.8,824,53,0.16843406530023627,0.8962141790862148,0.38012101784151114,0.04848740699547882,0.2571428571428571,0.16981132075471697,0.9896238651102465
XGBoost_multi_no_coords,random,False,11,4,0.8,0.1,3,300,0.8,816,48,0.1432585144990949,0.9114312065972222,0.49772312144478903,0.040176037426071676,0.4473684210526316,0.3541666666666667,0.9856770833333334
XGBoost_multi_no_coords,random,False,11,5,0.8,0.1,3,300,0.8,816,48,0.1470063313236741,0.8965386284722222,0.49333589072397604,0.039365253806842505,0.38235294117647056,0.2708333333333333,0.9908854166666666
XGBoost_multi_no_coords,random,False,12,1,0.8,0.1,3,300,1.0,824,51,0.16252129691532252,0.879854399715902,0.425541700267146,0.0438884944555559,0.3188405797101449,0.21568627450980393,0.9909443725743855
XGBoost_multi_no_coords,random,False,12,2,0.8,0.1,3,300,1.0,824,51,0.1922323837915445,0.8323060142556374,0.31801803052046607,0.05056362140587843,0.25,0.17647058823529413,0.9844760672703752
XGBoost_multi_no_coords,random,False,12,3,0.8,0.1,3,300,1.0,824,53,0.16565829686425287,0.8991752930523946,0.3850996088829634,0.04792998443964211,0.1875,0.11320754716981132,0.993514915693904
XGBoost_multi_no_coords,random,False,12,4,0.8,0.1,3,300,1.0,816,48,0.14483526331453098,0.9125434027777777,0.46560356856131124,0.04025972583180985,0.39436619718309857,0.2916666666666667,0.98828125
XGBoost_multi_no_coords,random,False,12,5,0.8,0.1,3,300,1.0,816,48,0.14774492080701943,0.897216796875,0.4942742768831766,0.03957812931009554,0.3384615384615385,0.22916666666666666,0.9921875
XGBoost_multi_no_coords,random,False,13,1,0.8,0.1,5,100,0.8,824,51,0.15611462646615828,0.8821246480480938,0.48738400579438074,0.04177821448715015,0.3888888888888889,0.27450980392156865,0.9909443725743855
XGBoost_multi_no_coords,random,False,13,2,0.8,0.1,5,100,0.8,824,51,0.18460504821162774,0.8464348223118484,0.3145419132890061,0.05023239482861546,0.2894736842105263,0.21568627450980393,0.981888745148771
XGBoost_multi_no_coords,random,False,13,3,0.8,0.1,5,100,0.8,824,53,0.17105168382483044,0.8929838729412917,0.3848541974016812,0.04883037815441142,0.2857142857142857,0.18867924528301888,0.9909208819714657
XGBoost_multi_no_coords,random,False,13,4,0.8,0.1,5,100,0.8,816,48,0.13977390495815908,0.9116753472222222,0.5285806340180432,0.03849099751498843,0.4533333333333333,0.3541666666666667,0.9869791666666666
XGBoost_multi_no_coords,random,False,13,5,0.8,0.1,5,100,0.8,816,48,0.14070537761103066,0.9018554687499999,0.5355828761248969,0.037669476127115194,0.4788732394366197,0.3541666666666667,0.9921875
XGBoost_multi_no_coords,random,False,14,1,0.8,0.1,5,100,1.0,824,51,0.16102408920449518,0.8809578165030566,0.42880076638485964,0.04384436147748592,0.3333333333333333,0.23529411764705882,0.9883570504527813
XGBoost_multi_no_coords,random,False,14,2,0.8,0.1,5,100,1.0,824,51,0.18758956420516854,0.8410826167465693,0.3058869469770757,0.05080615833422055,0.29333333333333333,0.21568627450980393,0.9831824062095731
XGBoost_multi_no_coords,random,False,14,3,0.8,0.1,5,100,1.0,824,53,0.16568584825123933,0.9041431123510266,0.38583175702988665,0.0483412168695333,0.2647058823529412,0.16981132075471697,0.9922178988326849
XGBoost_multi_no_coords,random,False,14,4,0.8,0.1,5,100,1.0,816,48,0.14537061352685673,0.9068739149305555,0.5018602044154741,0.04008376115468695,0.4444444444444444,0.3333333333333333,0.9895833333333334
XGBoost_multi_no_coords,random,False,14,5,0.8,0.1,5,100,1.0,816,48,0.14746772296174238,0.8920084635416666,0.4839100708373471,0.03982690463091086,0.3582089552238806,0.25,0.9908854166666666
XGBoost_multi_no_coords,random,False,15,1,0.8,0.1,5,300,0.8,824,51,0.1743336618055916,0.8760368312913781,0.4368975723326937,0.043637368709380946,0.3380281690140845,0.23529411764705882,0.9896507115135834
XGBoost_multi_no_coords,random,False,15,2,0.8,0.1,5,300,0.8,824,51,0.20432242085187396,0.8480075083073334,0.3355878610010984,0.05245988213817948,0.27848101265822783,0.21568627450980393,0.9780077619663649
XGBoost_multi_no_coords,random,False,15,3,0.8,0.1,5,300,0.8,824,53,0.18934875694588157,0.8837579228152608,0.3752691961710692,0.050688083076296034,0.22857142857142856,0.1509433962264151,0.9883268482490273
XGBoost_multi_no_coords,random,False,15,4,0.8,0.1,5,300,0.8,816,48,0.14454113767396154,0.910861545138889,0.4876380289019973,0.03976561347191915,0.45,0.375,0.9817708333333334
XGBoost_multi_no_coords,random,False,15,5,0.8,0.1,5,300,0.8,816,48,0.1556883236745958,0.8972710503472222,0.49474253697406895,0.04080213148648329,0.35294117647058826,0.25,0.9895833333333334
XGBoost_multi_no_coords,random,False,16,1,0.8,0.1,5,300,1.0,824,51,0.17043050158970072,0.887400755903914,0.4171423680256286,0.04438841184802111,0.38961038961038963,0.29411764705882354,0.9857697283311773
XGBoost_multi_no_coords,random,False,16,2,0.8,0.1,5,300,1.0,824,51,0.20621226331455259,0.8447860386069047,0.3134475530985029,0.053025437952981494,0.3,0.23529411764705882,0.9780077619663649
XGBoost_multi_no_coords,random,False,16,3,0.8,0.1,5,300,1.0,824,53,0.18642679857986041,0.8864987886351956,0.36361546927567584,0.051228918401717324,0.19718309859154928,0.1320754716981132,0.9857328145265889
XGBoost_multi_no_coords,random,False,16,4,0.8,0.1,5,300,1.0,816,48,0.1479516766543311,0.9088270399305555,0.4819503535268488,0.040827617337908836,0.4444444444444444,0.375,0.98046875
XGBoost_multi_no_coords,random,False,16,5,0.8,0.1,5,300,1.0,816,48,0.15339686933758825,0.896240234375,0.4563474797026877,0.04067208315436506,0.43243243243243246,0.3333333333333333,0.9869791666666666
