model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_no_coords,spatial,False,1,1,0.8,0.03,3,100,0.8,824,48,0.16502930507231328,0.8799398625429554,0.40379929794335406,0.044704978069442736,0.11764705882352941,0.0625,1.0
XGBoost_multi_no_coords,spatial,False,1,2,0.8,0.03,3,100,0.8,824,49,0.17029085953928288,0.8564186965108624,0.39733539216425257,0.04603188849840701,0.04,0.02040816326530612,1.0
XGBoost_multi_no_coords,spatial,False,1,3,0.8,0.03,3,100,0.8,816,53,0.17389695173751923,0.8870397388659463,0.4227180445193511,0.04899713870121387,0.037037037037037035,0.018867924528301886,1.0
XGBoost_multi_no_coords,spatial,False,1,4,0.8,0.03,3,100,0.8,816,45,0.15943645642416615,0.8815679492722294,0.33082271376736366,0.04311674692268394,0.15384615384615385,0.08888888888888889,0.9961089494163424
XGBoost_multi_no_coords,spatial,False,1,5,0.8,0.03,3,100,0.8,824,55,0.1818521464960271,0.8653150490601726,0.4553859223950897,0.05034539029087903,0.03571428571428571,0.01818181818181818,1.0
XGBoost_multi_no_coords,spatial,False,2,1,0.8,0.03,3,100,1.0,824,48,0.1666290833415707,0.876745060137457,0.40388859798143956,0.045096408147148555,0.11764705882352941,0.0625,1.0
XGBoost_multi_no_coords,spatial,False,2,2,0.8,0.03,3,100,1.0,824,49,0.17320533698311782,0.8511389071757736,0.36681906665458736,0.04686771219050414,0.0,0.0,1.0
XGBoost_multi_no_coords,spatial,False,2,3,0.8,0.03,3,100,1.0,816,53,0.17688201958669184,0.8836890130814313,0.400913166817685,0.049732661670987846,0.0,0.0,1.0
XGBoost_multi_no_coords,spatial,False,2,4,0.8,0.03,3,100,1.0,816,45,0.16345394937534083,0.8719267906038334,0.32032066236665135,0.044040185997159274,0.1509433962264151,0.08888888888888889,0.9948119325551232
XGBoost_multi_no_coords,spatial,False,2,5,0.8,0.03,3,100,1.0,824,55,0.18303670691790605,0.8659061354770068,0.4572314852683095,0.05062059387210019,0.0,0.0,1.0
XGBoost_multi_no_coords,spatial,False,3,1,0.8,0.03,3,300,0.8,824,48,0.15732508938258224,0.8714024914089347,0.4259773152294985,0.04260510722759652,0.21052631578947367,0.125,0.9961340206185567
XGBoost_multi_no_coords,spatial,False,3,2,0.8,0.03,3,300,0.8,824,49,0.16288569572134862,0.8621988150098748,0.398683503473226,0.04394994653438758,0.14545454545454545,0.08163265306122448,0.9974193548387097
XGBoost_multi_no_coords,spatial,False,3,3,0.8,0.03,3,300,0.8,816,53,0.16553409163511645,0.888993298548431,0.449685078550171,0.04626105694328682,0.1935483870967742,0.11320754716981132,0.9960681520314548
XGBoost_multi_no_coords,spatial,False,3,4,0.8,0.03,3,300,0.8,816,45,0.14989825870259255,0.8945381178844214,0.40508830309023663,0.04124634806623064,0.22580645161290322,0.15555555555555556,0.9870298313878081
XGBoost_multi_no_coords,spatial,False,3,5,0.8,0.03,3,300,0.8,824,55,0.17316377136898234,0.8770540252984987,0.44983165956955495,0.04830848944309229,0.13333333333333333,0.07272727272727272,0.9986996098829649
XGBoost_multi_no_coords,spatial,False,4,1,0.8,0.03,3,300,1.0,824,48,0.15995715813551672,0.869469501718213,0.4146679926372939,0.04325949049612646,0.26666666666666666,0.16666666666666666,0.9948453608247423
XGBoost_multi_no_coords,spatial,False,4,2,0.8,0.03,3,300,1.0,824,49,0.16558722355835895,0.8589335088874259,0.38964494227712393,0.04467091091548991,0.14545454545454545,0.08163265306122448,0.9974193548387097
XGBoost_multi_no_coords,spatial,False,4,3,0.8,0.03,3,300,1.0,816,53,0.16804104569825193,0.8832562625188556,0.43519675939775126,0.04676873817561872,0.16393442622950818,0.09433962264150944,0.9960681520314548
XGBoost_multi_no_coords,spatial,False,4,4,0.8,0.03,3,300,1.0,816,45,0.1552772073177498,0.8831531921026083,0.3654840170110618,0.04234405198418254,0.17857142857142858,0.1111111111111111,0.9922178988326849
XGBoost_multi_no_coords,spatial,False,4,5,0.8,0.03,3,300,1.0,824,55,0.17577216659792713,0.8746778579028255,0.4552494713055578,0.04903340970032363,0.13559322033898305,0.07272727272727272,1.0
XGBoost_multi_no_coords,spatial,False,5,1,0.8,0.03,5,100,0.8,824,48,0.15602885082387474,0.885094501718213,0.42802916779441597,0.042454802719864515,0.21428571428571427,0.125,0.9974226804123711
XGBoost_multi_no_coords,spatial,False,5,2,0.8,0.03,5,100,0.8,824,49,0.15992655827627758,0.8707439104674128,0.41819479790745695,0.0435126370769942,0.14545454545454545,0.08163265306122448,0.9974193548387097
XGBoost_multi_no_coords,spatial,False,5,3,0.8,0.03,5,100,0.8,816,53,0.16402930019627074,0.8888943841341279,0.4719065694117899,0.0454391999648852,0.16393442622950818,0.09433962264150944,0.9960681520314548
XGBoost_multi_no_coords,spatial,False,5,4,0.8,0.03,5,100,0.8,816,45,0.15021339899388067,0.8937599077676899,0.4020570477118276,0.04102020299414399,0.24561403508771928,0.15555555555555556,0.993514915693904
XGBoost_multi_no_coords,spatial,False,5,5,0.8,0.03,5,100,0.8,824,55,0.17586704590444957,0.8721125428537653,0.4637421132431624,0.04849131550641656,0.19672131147540983,0.10909090909090909,1.0
XGBoost_multi_no_coords,spatial,False,6,1,0.8,0.03,5,100,1.0,824,48,0.15731014987399647,0.8759128006872853,0.4320863244896741,0.04264975522399138,0.23333333333333334,0.14583333333333334,0.9935567010309279
XGBoost_multi_no_coords,spatial,False,6,2,0.8,0.03,5,100,1.0,824,49,0.16272096529871277,0.8669914417379856,0.3918126711775733,0.04457129966585295,0.1111111111111111,0.061224489795918366,0.9974193548387097
XGBoost_multi_no_coords,spatial,False,6,3,0.8,0.03,5,100,1.0,816,53,0.1678668624761712,0.8841588565493707,0.4521069744254419,0.04659691043555898,0.13333333333333333,0.07547169811320754,0.9960681520314548
XGBoost_multi_no_coords,spatial,False,6,4,0.8,0.03,5,100,1.0,816,45,0.15229278963203743,0.8877071624153337,0.3824988508419018,0.041551392432983045,0.18181818181818182,0.1111111111111111,0.993514915693904
XGBoost_multi_no_coords,spatial,False,6,5,0.8,0.03,5,100,1.0,824,55,0.17683490286303863,0.8681877290459865,0.4626557029804857,0.04852922159798843,0.19672131147540983,0.10909090909090909,1.0
