model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_with_coords,random,True,1,1,0.8,0.03,3,100,0.8,824,51,0.1624370807507866,0.8842553839129442,0.47476402697959313,0.04461957010971173,0.03773584905660377,0.0196078431372549,0.9987063389391979
XGBoost_multi_with_coords,random,True,1,2,0.8,0.03,3,100,0.8,824,51,0.1803473841653566,0.8354260203434544,0.2974961841755075,0.04918715562131136,0.0,0.0,0.9987063389391979
XGBoost_multi_with_coords,random,True,1,3,0.8,0.03,3,100,0.8,824,53,0.16800818321011365,0.8958103908180994,0.4640957352525936,0.04705167401987878,0.0,0.0,0.9987029831387808
XGBoost_multi_with_coords,random,True,1,4,0.8,0.03,3,100,0.8,816,48,0.15417095003456516,0.9132215711805556,0.4309218882140131,0.042823648084832126,0.0,0.0,1.0
XGBoost_multi_with_coords,random,True,1,5,0.8,0.03,3,100,0.8,816,48,0.15523722892010486,0.8973253038194445,0.4911120724673529,0.04244769442429195,0.08,0.041666666666666664,1.0
XGBoost_multi_with_coords,random,True,2,1,0.8,0.03,3,100,1.0,824,51,0.16727111445329973,0.8708495040965933,0.46547136212182516,0.04573598060115594,0.03773584905660377,0.0196078431372549,0.9987063389391979
XGBoost_multi_with_coords,random,True,2,2,0.8,0.03,3,100,1.0,824,51,0.18474601556758524,0.8265986860462167,0.28121396332251003,0.05026731479269554,0.0,0.0,0.9987063389391979
XGBoost_multi_with_coords,random,True,2,3,0.8,0.03,3,100,1.0,824,53,0.16554329770266416,0.9008883341898539,0.4725498072238357,0.04639313223209285,0.0,0.0,0.9987029831387808
XGBoost_multi_with_coords,random,True,2,4,0.8,0.03,3,100,1.0,816,48,0.1568277390621865,0.902072482638889,0.4209679748347518,0.043328947483938805,0.0,0.0,1.0
XGBoost_multi_with_coords,random,True,2,5,0.8,0.03,3,100,1.0,816,48,0.15689930420451204,0.895968967013889,0.5007983707824105,0.04278409975181418,0.04081632653061224,0.020833333333333332,1.0
XGBoost_multi_with_coords,random,True,3,1,0.8,0.03,3,300,0.8,824,51,0.15010060894136662,0.8973188240367298,0.5276286947699435,0.0411090907184854,0.2903225806451613,0.17647058823529413,0.9974126778783958
XGBoost_multi_with_coords,random,True,3,2,0.8,0.03,3,300,0.8,824,51,0.17527665804500753,0.8513558075235269,0.33949363986517256,0.04792136444782681,0.1791044776119403,0.11764705882352941,0.9870633893919794
XGBoost_multi_with_coords,random,True,3,3,0.8,0.03,3,300,0.8,824,53,0.16116888954562314,0.9009372782223527,0.4365892805459867,0.04587962559363949,0.1935483870967742,0.11320754716981132,0.9961089494163424
XGBoost_multi_with_coords,random,True,3,4,0.8,0.03,3,300,0.8,816,48,0.13760066235289348,0.9295247395833334,0.49065742046053634,0.038540562118662434,0.17543859649122806,0.10416666666666667,0.9947916666666666
XGBoost_multi_with_coords,random,True,3,5,0.8,0.03,3,300,0.8,816,48,0.14265207109840963,0.90625,0.5078350856139437,0.039677284946258155,0.2857142857142857,0.1875,0.9921875
