model,split_type,use_coords,candidate,fold,classifier__colsample_bytree,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_multi_with_coords,spatial,True,1,1,0.8,0.03,3,100,0.8,824,48,0.1613681799022649,0.8803694158075601,0.42549166958857504,0.04389322708461271,0.15384615384615385,0.08333333333333333,1.0
XGBoost_multi_with_coords,spatial,True,1,2,0.8,0.03,3,100,0.8,824,49,0.16811212355503316,0.8594338380513495,0.37658227115222365,0.0456196449394835,0.0,0.0,1.0
XGBoost_multi_with_coords,spatial,True,1,3,0.8,0.03,3,100,0.8,816,53,0.16821618665085228,0.8985385395286727,0.4500352120573947,0.04791187474470299,0.07272727272727272,0.03773584905660377,1.0
XGBoost_multi_with_coords,spatial,True,1,4,0.8,0.03,3,100,0.8,816,45,0.1517147789446517,0.9022769851563625,0.39970958005347657,0.041341990106012694,0.15384615384615385,0.08888888888888889,0.9961089494163424
XGBoost_multi_with_coords,spatial,True,1,5,0.8,0.03,3,100,0.8,824,55,0.1730916211972148,0.8855538479725735,0.5029342848740926,0.048410282659109155,0.07017543859649122,0.03636363636363636,1.0
XGBoost_multi_with_coords,spatial,True,2,1,0.8,0.03,3,100,1.0,824,48,0.16120501683187893,0.8815506872852233,0.43222075513513986,0.043833796424416725,0.15384615384615385,0.08333333333333333,1.0
XGBoost_multi_with_coords,spatial,True,2,2,0.8,0.03,3,100,1.0,824,49,0.16865592670022606,0.8622909809084924,0.3778861271176801,0.04606713358939662,0.0,0.0,1.0
XGBoost_multi_with_coords,spatial,True,2,3,0.8,0.03,3,100,1.0,816,53,0.16942883022710908,0.899849155518188,0.4243111750996955,0.048454138430139494,0.0,0.0,1.0
XGBoost_multi_with_coords,spatial,True,2,4,0.8,0.03,3,100,1.0,816,45,0.1554604294356822,0.8938896094538118,0.37757564681445555,0.042409883527439275,0.1509433962264151,0.08888888888888889,0.9948119325551232
XGBoost_multi_with_coords,spatial,True,2,5,0.8,0.03,3,100,1.0,824,55,0.1749687359811314,0.8839697363754581,0.4980009931409119,0.0489380894270225,0.07017543859649122,0.03636363636363636,1.0
XGBoost_multi_with_coords,spatial,True,3,1,0.8,0.03,3,300,0.8,824,48,0.14975294161287683,0.8897121993127147,0.4768013207980785,0.040903819458530354,0.2413793103448276,0.14583333333333334,0.9961340206185567
XGBoost_multi_with_coords,spatial,True,3,2,0.8,0.03,3,300,0.8,824,49,0.15909122458854438,0.8693087557603687,0.4121501896270737,0.043062283825796924,0.17857142857142858,0.10204081632653061,0.9974193548387097
XGBoost_multi_with_coords,spatial,True,3,3,0.8,0.03,3,300,0.8,816,53,0.1548953166440669,0.9012339573184303,0.49256096268843924,0.043428859000986156,0.16666666666666666,0.09433962264150944,0.9973787680209698
XGBoost_multi_with_coords,spatial,True,3,4,0.8,0.03,3,300,0.8,816,45,0.13523126402881885,0.9189220348753423,0.48261263194848064,0.03723839305174399,0.2413793103448276,0.15555555555555556,0.9922178988326849
XGBoost_multi_with_coords,spatial,True,3,5,0.8,0.03,3,300,0.8,824,55,0.15963072555189223,0.8985222839579147,0.5388456879844731,0.04442350655871671,0.22580645161290322,0.12727272727272726,1.0
XGBoost_multi_with_coords,spatial,True,4,1,0.8,0.03,3,300,1.0,824,48,0.15147654154331675,0.8873228092783505,0.45574426094142645,0.04144938235645472,0.24561403508771928,0.14583333333333334,0.9974226804123711
XGBoost_multi_with_coords,spatial,True,4,2,0.8,0.03,3,300,1.0,824,49,0.16281887343554335,0.864700460829493,0.3808890493133627,0.04416256167575669,0.11320754716981132,0.061224489795918366,0.9987096774193548
XGBoost_multi_with_coords,spatial,True,4,3,0.8,0.03,3,300,1.0,816,53,0.1597052881482709,0.8992556690323698,0.46144889645763815,0.04499318981428219,0.13559322033898305,0.07547169811320754,0.9973787680209698
XGBoost_multi_with_coords,spatial,True,4,4,0.8,0.03,3,300,1.0,816,45,0.1425726817051399,0.9082288514195129,0.4533938190965775,0.03889823090711622,0.18181818181818182,0.1111111111111111,0.993514915693904
XGBoost_multi_with_coords,spatial,True,4,5,0.8,0.03,3,300,1.0,824,55,0.1648387925498036,0.8888048232651613,0.5407024873736306,0.045662146743187894,0.19672131147540983,0.10909090909090909,1.0
XGBoost_multi_with_coords,spatial,True,5,1,0.8,0.03,5,100,0.8,824,48,0.14601170303709954,0.9025182560137458,0.5076071745297751,0.0398091351049217,0.32786885245901637,0.20833333333333334,0.9961340206185567
XGBoost_multi_with_coords,spatial,True,5,2,0.8,0.03,5,100,0.8,824,49,0.15528480105334727,0.8747728768926925,0.4386877362000018,0.04210325224445643,0.21052631578947367,0.12244897959183673,0.9974193548387097
XGBoost_multi_with_coords,spatial,True,5,3,0.8,0.03,5,100,0.8,816,53,0.1519394974699834,0.9096169539306116,0.5285007715949644,0.04295861786524038,0.27692307692307694,0.16981132075471697,0.9960681520314548
XGBoost_multi_with_coords,spatial,True,5,4,0.8,0.03,5,100,0.8,816,45,0.13551345787429717,0.9198731805735697,0.49395559785481563,0.03717912002721871,0.3103448275862069,0.2,0.9948119325551232
XGBoost_multi_with_coords,spatial,True,5,5,0.8,0.03,5,100,0.8,824,55,0.16043652204578748,0.8989715096347086,0.547711993527138,0.04446365521122608,0.28125,0.16363636363636364,1.0
XGBoost_multi_with_coords,spatial,True,6,1,0.8,0.03,5,100,1.0,824,48,0.14425669921553025,0.9025719501718213,0.5130658869520393,0.03964623538368457,0.3492063492063492,0.22916666666666666,0.9948453608247423
XGBoost_multi_with_coords,spatial,True,6,2,0.8,0.03,5,100,1.0,824,49,0.15705022536038113,0.8729427254772877,0.4184492168099055,0.0427659246406357,0.2033898305084746,0.12244897959183673,0.9948387096774194
XGBoost_multi_with_coords,spatial,True,6,3,0.8,0.03,5,100,1.0,816,53,0.15261338264221225,0.9107050124879448,0.5164155515760425,0.04324513411674502,0.2647058823529412,0.16981132075471697,0.9921363040629095
