model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,128,1,0.0697585256490554,0.9763779527559054,0.25,0.014434046564732041,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.32427678639144836,0.8240802675585285,0.37918794894404656,0.09681859577219537,0.41379310344827586,0.46153846153846156,0.9130434782608695
XGBoost_single_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.5502895248072469,0.8315340909090909,0.6530501791991575,0.18193631625159984,0.28,0.175,0.9659090909090909
XGBoost_single_no_coords,spatial,False,Egernia mcpheei,128,6,0.2566751069942112,0.6885245901639343,0.09229517078781785,0.048369333962289374,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Eulamprus murrayi,128,0,0.005077884690046842,,,7.999900541699477e-05,0.0,,1.0
XGBoost_single_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.29503283801820984,0.8521739130434782,0.4025967755567541,0.08596822677757746,0.4166666666666667,0.38461538461538464,0.9478260869565217
XGBoost_single_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.07718595325046398,0.7242063492063492,0.18095238095238095,0.01663437065962884,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Saltuarius swaini,128,0,0.019638259900985708,,,0.0006892925006221928,0.0,,1.0
XGBoost_multi_no_coords,spatial,False,Cacophis kreftii,128,1,0.061854321489549335,0.984251968503937,0.3333333333333333,0.009690827364410128,0.0,0.0,1.0
XGBoost_multi_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.30147730566923403,0.788628762541806,0.3627063268764206,0.09079632632880671,0.19047619047619047,0.15384615384615385,0.9478260869565217
XGBoost_multi_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.5400678308803717,0.8375,0.6630731109622615,0.17579871289756105,0.32,0.2,0.9772727272727273
XGBoost_multi_no_coords,spatial,False,Egernia mcpheei,128,6,0.18284127139453799,0.7377049180327869,0.30428696325364724,0.042647372915966396,0.0,0.0,1.0
XGBoost_multi_no_coords,spatial,False,Eulamprus murrayi,128,0,0.010393958491956044,,,0.00022316917680850735,0.0,,1.0
XGBoost_multi_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.3172733154330504,0.8060200668896321,0.29715848034139736,0.09911166417322428,0.3076923076923077,0.3076923076923077,0.9217391304347826
XGBoost_multi_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.08167806684417707,0.6626984126984127,0.06282051282051282,0.015630726564162565,0.0,0.0,1.0
XGBoost_multi_no_coords,spatial,False,Saltuarius swaini,128,0,0.020993360257287735,,,0.0006586138643542874,0.0,,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,128,4,0.13475326058044482,0.7177419354838709,0.15050357374918777,0.02993469783946492,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Calyptotis scutirostrum,128,16,0.2552500789281995,0.9073660714285715,0.6347765086108907,0.07580739815991003,0.5384615384615384,0.4375,0.9732142857142857
XGBoost_single_no_coords,random,False,Coeranoscincus reticulatus,128,20,0.35337535158088124,0.7935185185185185,0.46152946413998136,0.10943833991229109,0.3125,0.25,0.9351851851851852
XGBoost_single_no_coords,random,False,Egernia mcpheei,128,3,0.08279218165507354,0.912,0.42037037037037034,0.020411949358850105,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Eulamprus murrayi,128,1,0.04717837033571828,0.5,0.0078125,0.007766515534492336,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Ophioscincus truncatus,128,26,0.4237104671874625,0.7722473604826546,0.4993477223438416,0.13575292731335298,0.30303030303030304,0.19230769230769232,0.9803921568627451
XGBoost_single_no_coords,random,False,Pseudechis porphyricaus,128,3,0.1525859403577947,0.4666666666666667,0.03706636500754148,0.027181028990473956,0.0,0.0,0.992
XGBoost_single_no_coords,random,False,Saltuarius swaini,128,1,0.052236102687429405,0.3307086614173228,0.011627906976744186,0.007973245661839337,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,Cacophis kreftii,128,4,0.1083610877896714,0.870967741935484,0.2777777777777778,0.02688428019789748,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,Calyptotis scutirostrum,128,16,0.249152193447968,0.9051339285714285,0.6504453593742543,0.07542496856271869,0.43478260869565216,0.3125,0.9821428571428571
XGBoost_multi_no_coords,random,False,Coeranoscincus reticulatus,128,20,0.341832772093957,0.8236111111111111,0.4927016470715218,0.11038826124511503,0.4117647058823529,0.35,0.9351851851851852
XGBoost_multi_no_coords,random,False,Egernia mcpheei,128,3,0.08753030196707351,0.9119999999999999,0.2041847041847042,0.02153998664835932,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,Eulamprus murrayi,128,1,0.05149848956965069,0.40157480314960625,0.012987012987012988,0.007863455373903545,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,Ophioscincus truncatus,128,26,0.40805499913640003,0.7835595776772248,0.5791254883065756,0.12775370962174784,0.47368421052631576,0.34615384615384615,0.9705882352941176
XGBoost_multi_no_coords,random,False,Pseudechis porphyricaus,128,3,0.1316506561033818,0.48266666666666663,0.03591069580005915,0.02352990111521617,0.0,0.0,1.0
XGBoost_multi_no_coords,random,False,Saltuarius swaini,128,1,0.04849880814122406,0.6299212598425197,0.020833333333333332,0.007946807269224735,0.0,0.0,1.0
