model,split_type,use_coords,species,candidate,fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_no_coords,random,False,Cacophis kreftii,1,1,0.8,0.03,3,100,0.8,103,3,0.10237668400854341,0.83,0.4081196581196581,0.024991880077544795,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,1,2,0.8,0.03,3,100,0.8,103,3,0.10433565207701447,0.9099999999999999,0.18461538461538463,0.027562755633627128,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,1,3,0.8,0.03,3,100,0.8,102,3,0.16626010109735856,0.46464646464646464,0.0456616381492356,0.03320494464716289,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,1,4,0.8,0.03,3,100,0.8,103,4,0.1468123918481885,0.8484848484848485,0.13669590643274854,0.03818329012217648,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,1,5,0.8,0.03,3,100,0.8,102,3,0.10829879305150257,0.8417508417508417,0.20158730158730157,0.026768358037366595,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,2,1,0.8,0.03,3,100,1.0,103,3,0.106291176287006,0.8066666666666666,0.2956349206349206,0.025586589463867947,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,2,2,0.8,0.03,3,100,1.0,103,3,0.10430577342523832,0.9199999999999999,0.19761904761904764,0.02781224400949503,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,2,3,0.8,0.03,3,100,1.0,102,3,0.17190585222919672,0.4865319865319865,0.046418000413843974,0.03520625995609155,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,2,4,0.8,0.03,3,100,1.0,103,4,0.14571095531574468,0.851010101010101,0.13921261487050962,0.03872321622777177,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,2,5,0.8,0.03,3,100,1.0,102,3,0.11082754030183763,0.835016835016835,0.2005050505050505,0.027113227174674605,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,3,1,0.8,0.03,3,300,0.8,103,3,0.10814479255066957,0.8166666666666667,0.40674603174603174,0.025492513262181334,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,3,2,0.8,0.03,3,300,0.8,103,3,0.10935146285989546,0.8933333333333333,0.19,0.028778420212307268,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,3,3,0.8,0.03,3,300,0.8,102,3,0.19051571468804884,0.5589225589225589,0.04927378358750908,0.03874600741775134,0.0,0.0,0.9797979797979798
XGBoost_single_no_coords,random,False,Cacophis kreftii,3,4,0.8,0.03,3,300,0.8,103,4,0.15816230574991802,0.845959595959596,0.13662330316742083,0.0411954107238606,0.0,0.0,0.98989898989899
XGBoost_single_no_coords,random,False,Cacophis kreftii,3,5,0.8,0.03,3,300,0.8,102,3,0.1155211682120318,0.797979797979798,0.2794486215538847,0.02620636394588847,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,4,1,0.8,0.03,3,300,1.0,103,3,0.11369142426371938,0.8099999999999999,0.2804232804232804,0.026680836959761905,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,4,2,0.8,0.03,3,300,1.0,103,3,0.10520141734684353,0.8933333333333333,0.20036630036630035,0.02882449276749004,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,4,3,0.8,0.03,3,300,1.0,102,3,0.194734028821073,0.5218855218855218,0.04364930182599355,0.03919321636166126,0.0,0.0,0.9797979797979798
XGBoost_single_no_coords,random,False,Cacophis kreftii,4,4,0.8,0.03,3,300,1.0,103,4,0.1546120891223919,0.861111111111111,0.15615468409586056,0.041912696553239176,0.0,0.0,0.98989898989899
XGBoost_single_no_coords,random,False,Cacophis kreftii,4,5,0.8,0.03,3,300,1.0,102,3,0.12169481126130219,0.7609427609427609,0.29227053140096615,0.02646891393210653,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,5,1,0.8,0.03,5,100,0.8,103,3,0.10188637219496806,0.8266666666666665,0.35256410256410253,0.025010707742541965,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,5,2,0.8,0.03,5,100,0.8,103,3,0.10517959900502107,0.9066666666666667,0.18104575163398695,0.02791239370106128,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,5,3,0.8,0.03,5,100,0.8,102,3,0.16514779944915492,0.48148148148148145,0.046418000413843974,0.03318148157553804,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,5,4,0.8,0.03,5,100,0.8,103,4,0.150458374136765,0.8232323232323232,0.1190892440892441,0.03873793129058337,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,5,5,0.8,0.03,5,100,0.8,102,3,0.10639906860793152,0.8686868686868687,0.20718954248366012,0.02677409904760588,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,6,1,0.8,0.03,5,100,1.0,103,3,0.10940271336940975,0.7766666666666666,0.29292929292929293,0.026023168434868023,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,6,2,0.8,0.03,5,100,1.0,103,3,0.10889512663772932,0.8933333333333333,0.18055555555555555,0.02862379418138737,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,6,3,0.8,0.03,5,100,1.0,102,3,0.16920843906524524,0.48316498316498313,0.04641800041384398,0.03475151209780247,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,6,4,0.8,0.03,5,100,1.0,103,4,0.14994345521576927,0.8484848484848485,0.13635620915032678,0.03975499274958956,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,6,5,0.8,0.03,5,100,1.0,102,3,0.10912880926464048,0.845117845117845,0.21825396825396826,0.026882360631653227,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,7,1,0.8,0.03,5,300,0.8,103,3,0.10782954388772661,0.83,0.3529411764705882,0.025692274703576958,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,7,2,0.8,0.03,5,300,0.8,103,3,0.10879852012495621,0.8966666666666667,0.19166666666666665,0.02887870455153833,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,7,3,0.8,0.03,5,300,0.8,102,3,0.18959820783264428,0.5622895622895623,0.04738562091503268,0.03861488333535698,0.0,0.0,0.9797979797979798
XGBoost_single_no_coords,random,False,Cacophis kreftii,7,4,0.8,0.03,5,300,0.8,103,4,0.15781093239460176,0.8383838383838385,0.13209033613445378,0.04082748587542778,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,7,5,0.8,0.03,5,300,0.8,102,3,0.11161916253852028,0.8282828282828283,0.28273809523809523,0.025820090365523768,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,8,1,0.8,0.03,5,300,1.0,103,3,0.12192849076529126,0.7399999999999999,0.23555555555555555,0.027176170150645,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,8,2,0.8,0.03,5,300,1.0,103,3,0.11318578372248071,0.85,0.177109440267335,0.0297365791471935,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,8,3,0.8,0.03,5,300,1.0,102,3,0.19653818496980197,0.5589225589225588,0.0459255021612001,0.03915722114383856,0.0,0.0,0.9797979797979798
XGBoost_single_no_coords,random,False,Cacophis kreftii,8,4,0.8,0.03,5,300,1.0,103,4,0.15544274529559962,0.8560606060606061,0.1536004056795132,0.042046757055055464,0.0,0.0,0.98989898989899
XGBoost_single_no_coords,random,False,Cacophis kreftii,8,5,0.8,0.03,5,300,1.0,102,3,0.11874967240244264,0.8080808080808081,0.4135472370766488,0.02558942576579266,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,9,1,0.8,0.1,3,100,0.8,103,3,0.10670299067688617,0.8133333333333334,0.3181818181818182,0.024341597319412583,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,9,2,0.8,0.1,3,100,0.8,103,3,0.10457528948756016,0.9,0.1861952861952862,0.02837179740764061,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,9,3,0.8,0.1,3,100,0.8,102,3,0.18463126632358218,0.5656565656565656,0.049726211708751834,0.036556252887468,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,9,4,0.8,0.1,3,100,0.8,103,4,0.16414734813254167,0.8282828282828283,0.134331429747389,0.04119311497598242,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,9,5,0.8,0.1,3,100,0.8,102,3,0.11369259024143463,0.8013468013468014,0.2619883040935672,0.026270228041473123,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,10,1,0.8,0.1,3,100,1.0,103,3,0.10670711329670708,0.8433333333333334,0.32173913043478264,0.02569138210351714,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,10,2,0.8,0.1,3,100,1.0,103,3,0.1062697462757768,0.91,0.2007936507936508,0.02932406395970639,0.0,0.0,1.0
XGBoost_single_no_coords,random,False,Cacophis kreftii,10,3,0.8,0.1,3,100,1.0,102,3,0.19620268989957526,0.5151515151515151,0.04383903133903133,0.03800631238002462,0.0,0.0,0.98989898989899
