model,split_type,use_coords,species,candidate,fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,1,1,0.8,0.03,3,100,0.8,103,5,0.15190119752154377,0.9020408163265307,0.30523809523809525,0.04230316484142418,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,1,2,0.8,0.03,3,100,0.8,103,4,0.11991380015260572,0.9191919191919192,0.4125,0.0327541072395353,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,1,3,0.8,0.03,3,100,0.8,102,4,0.15623890215025749,0.7423469387755103,0.13078738201689022,0.03752148698725687,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,1,4,0.8,0.03,3,100,0.8,103,4,0.13679168254111632,0.856060606060606,0.16929271708683474,0.036647063488921154,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,1,5,0.8,0.03,3,100,0.8,102,2,0.07206073490953052,0.96,0.26666666666666666,0.016789455571073315,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,2,1,0.8,0.03,3,100,1.0,103,5,0.15791437171457434,0.9061224489795917,0.2655844155844156,0.04390902351077464,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,2,2,0.8,0.03,3,100,1.0,103,4,0.12648760670004716,0.9040404040404041,0.39166666666666666,0.03409153480117323,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,2,3,0.8,0.03,3,100,1.0,102,4,0.16212902860562226,0.6913265306122449,0.12439052175894282,0.038150832728050685,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,2,4,0.8,0.03,3,100,1.0,103,4,0.13027548344589,0.8787878787878788,0.2396780303030303,0.03556742782148182,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,2,5,0.8,0.03,3,100,1.0,102,2,0.07386137668875452,0.965,0.29166666666666663,0.017454780376838657,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,3,1,0.8,0.03,3,300,0.8,103,5,0.16483622879955914,0.8714285714285714,0.3262765957446809,0.04290505151623986,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,3,2,0.8,0.03,3,300,0.8,103,4,0.12612527308692373,0.8787878787878788,0.3896780303030303,0.03149309663362941,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,3,3,0.8,0.03,3,300,0.8,102,4,0.17184867244738664,0.7193877551020408,0.1317464503620916,0.03820914377681102,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,3,4,0.8,0.03,3,300,0.8,103,4,0.15289353333999692,0.898989898989899,0.2155952380952381,0.04756022335231875,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,3,5,0.8,0.03,3,300,0.8,102,2,0.06883727917754322,0.94,0.19642857142857142,0.019690483196497785,0.0,0.0,0.99
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,4,1,0.8,0.03,3,300,1.0,103,5,0.16805084180272847,0.8877551020408163,0.27985036119711043,0.04410559271236688,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,4,2,0.8,0.03,3,300,1.0,103,4,0.1319639423503987,0.888888888888889,0.38568376068376065,0.03303943006584831,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,4,3,0.8,0.03,3,300,1.0,102,4,0.18258236867934802,0.6938775510204083,0.13669050051072523,0.0405636527618921,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,4,4,0.8,0.03,3,300,1.0,103,4,0.14831773799273282,0.9166666666666666,0.23809523809523808,0.04754928939935958,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,4,5,0.8,0.03,3,300,1.0,102,2,0.06898982885340646,0.9400000000000001,0.19642857142857142,0.019710306770422344,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,5,1,0.8,0.03,5,100,0.8,103,5,0.1535980642765783,0.8979591836734694,0.3397542997542998,0.04225468631630954,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,5,2,0.8,0.03,5,100,0.8,103,4,0.1188595847806837,0.9141414141414141,0.4125,0.03243674888246306,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,5,3,0.8,0.03,5,100,0.8,102,4,0.15822598850281147,0.7448979591836735,0.12715201465201467,0.03793383053970176,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,5,4,0.8,0.03,5,100,0.8,103,4,0.13692241195681962,0.8661616161616162,0.18938200280112044,0.03710601119499055,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,5,5,0.8,0.03,5,100,0.8,102,2,0.07041043164214024,0.9550000000000001,0.25,0.01671358308368335,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,6,1,0.8,0.03,5,100,1.0,103,5,0.1555442735585292,0.9081632653061223,0.2854761904761905,0.04366046681591218,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,6,2,0.8,0.03,5,100,1.0,103,4,0.11671890734025626,0.9292929292929293,0.4291208791208791,0.032659902479945185,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,6,3,0.8,0.03,5,100,1.0,102,4,0.16456252409182565,0.7372448979591837,0.15123862044817926,0.03925995260779025,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,6,4,0.8,0.03,5,100,1.0,103,4,0.12912588737181116,0.893939393939394,0.24166666666666667,0.036326979635389035,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,6,5,0.8,0.03,5,100,1.0,102,2,0.0687774645770503,0.965,0.29166666666666663,0.01647806109758118,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,1,0.8,0.03,5,300,0.8,103,5,0.16239040325059576,0.869387755102041,0.3232142857142857,0.04171370347704397,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,2,0.8,0.03,5,300,0.8,103,4,0.1276972079411317,0.8762626262626263,0.373956442831216,0.0317637614551787,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,3,0.8,0.03,5,300,0.8,102,4,0.17969152722764725,0.7193877551020409,0.1273231079265562,0.04054177707337315,0.0,0.0,1.0
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,4,0.8,0.03,5,300,0.8,103,4,0.15214862570985302,0.9040404040404041,0.22294372294372292,0.04706522298254115,0.0,0.0,0.9696969696969697
XGBoost_single_no_coords,spatial,False,Cacophis kreftii,7,5,0.8,0.03,5,300,0.8,102,2,0.06888686401847369,0.94,0.19642857142857142,0.020011398584780255,0.0,0.0,1.0
