model,split_type,use_coords,species,candidate,fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_with_coords,random,True,Cacophis kreftii,1,1,0.8,0.03,3,100,0.8,103,2,0.05596521410887756,0.9653465346534654,0.30952380952380953,0.015285502038534623,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,1,2,0.8,0.03,3,100,0.8,103,3,0.10146036806767947,0.9066666666666666,0.17072510822510822,0.027951481927080232,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,1,3,0.8,0.03,3,100,0.8,102,3,0.11074402728108507,0.8821548821548821,0.41777777777777775,0.026599470895044136,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,1,4,0.8,0.03,3,100,0.8,103,5,0.16453048993931543,0.9081632653061225,0.23608848667672197,0.047068545796510555,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,1,5,0.8,0.03,3,100,0.8,102,3,0.09211307628079458,0.9461279461279462,0.2619047619047619,0.028131478309756958,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,2,1,0.8,0.03,3,100,1.0,103,2,0.05909123379117838,0.9504950495049505,0.22619047619047616,0.01658499459649326,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,2,2,0.8,0.03,3,100,1.0,103,3,0.1088324454451626,0.9133333333333333,0.18253968253968253,0.030206893646878234,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,2,3,0.8,0.03,3,100,1.0,102,3,0.11504210574919174,0.8720538720538721,0.41349206349206347,0.026386107909148922,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,2,4,0.8,0.03,3,100,1.0,103,5,0.1758270395540902,0.9020408163265305,0.22848239479818427,0.049341692337743166,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,2,5,0.8,0.03,3,100,1.0,102,3,0.09254397977646527,0.9427609427609428,0.2507936507936508,0.028907858973501194,0.0,0.0,0.98989898989899
XGBoost_single_with_coords,random,True,Cacophis kreftii,3,1,0.8,0.03,3,300,0.8,103,2,0.047776022120143855,0.9752475247524752,0.6428571428571428,0.013815312233295894,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,3,2,0.8,0.03,3,300,0.8,103,3,0.11930275029458925,0.9,0.1619981325863679,0.02957520909637435,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,3,3,0.8,0.03,3,300,0.8,102,3,0.11424472905744523,0.8956228956228955,0.4251805985552115,0.02674182388038583,0.4,0.3333333333333333,0.98989898989899
XGBoost_single_with_coords,random,True,Cacophis kreftii,3,4,0.8,0.03,3,300,0.8,103,5,0.17012677450545516,0.9122448979591837,0.2732967032967033,0.045375812652858116,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,3,5,0.8,0.03,3,300,0.8,102,3,0.0844414727089647,0.9528619528619529,0.2869047619047619,0.027727184966089172,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,4,1,0.8,0.03,3,300,1.0,103,2,0.04932399298161197,0.9801980198019802,0.45,0.014917677102667878,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,4,2,0.8,0.03,3,300,1.0,103,3,0.12220351747242075,0.91,0.1746031746031746,0.031012602760655004,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,4,3,0.8,0.03,3,300,1.0,102,3,0.12494302064873239,0.8855218855218855,0.41800356506238856,0.028493060018138013,0.4,0.3333333333333333,0.98989898989899
XGBoost_single_with_coords,random,True,Cacophis kreftii,4,4,0.8,0.03,3,300,1.0,103,5,0.18224531294037316,0.9020408163265305,0.2560744810744811,0.048485364081518434,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,random,True,Cacophis kreftii,4,5,0.8,0.03,3,300,1.0,102,3,0.09835737715163674,0.9528619528619529,0.2869047619047619,0.0331425242594273,0.0,0.0,0.9797979797979798
XGBoost_single_with_coords,random,True,Cacophis kreftii,5,1,0.8,0.03,5,100,0.8,103,2,0.0542990533179815,0.9801980198019802,0.6666666666666666,0.014823672879960734,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,5,2,0.8,0.03,5,100,0.8,103,3,0.10164131535282495,0.91,0.1748917748917749,0.028099431318040526,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,5,3,0.8,0.03,5,100,0.8,102,3,0.11336171744586852,0.8787878787878788,0.25111111111111106,0.027116556264438037,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,5,4,0.8,0.03,5,100,0.8,103,5,0.16391602258258867,0.9081632653061225,0.24211875843454791,0.04686557481908803,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,5,5,0.8,0.03,5,100,0.8,102,3,0.09484145441505235,0.9427609427609427,0.2507936507936508,0.028847783090068604,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,6,1,0.8,0.03,5,100,1.0,103,2,0.05044106206204631,0.9801980198019802,0.41666666666666663,0.01431781664033262,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,6,2,0.8,0.03,5,100,1.0,103,3,0.11211716618767101,0.9066666666666666,0.16893939393939394,0.03023071625542913,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,6,3,0.8,0.03,5,100,1.0,102,3,0.12236798940697147,0.8754208754208754,0.24957264957264957,0.028484908939227272,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,6,4,0.8,0.03,5,100,1.0,103,5,0.16835362915683608,0.9020408163265307,0.22926161557740507,0.048060230773285355,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,random,True,Cacophis kreftii,6,5,0.8,0.03,5,100,1.0,102,3,0.09314075855512803,0.9562289562289562,0.30357142857142855,0.029645892408290363,0.0,0.0,0.9797979797979798
XGBoost_single_with_coords,random,True,Cacophis kreftii,7,1,0.8,0.03,5,300,0.8,103,2,0.048865119900612264,0.9702970297029703,0.625,0.014029351028376314,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,7,2,0.8,0.03,5,300,0.8,103,3,0.11965532999012345,0.9066666666666666,0.1690716690716691,0.02980360420268017,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,7,3,0.8,0.03,5,300,0.8,102,3,0.11652035833304726,0.8888888888888888,0.2563352826510721,0.02774076203760305,0.4,0.3333333333333333,0.98989898989899
XGBoost_single_with_coords,random,True,Cacophis kreftii,7,4,0.8,0.03,5,300,0.8,103,5,0.17248764401620606,0.9102040816326531,0.263229869545659,0.0458941026342049,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,7,5,0.8,0.03,5,300,0.8,102,3,0.08673177764223142,0.9528619528619529,0.2869047619047619,0.0282701068836977,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,8,1,0.8,0.03,5,300,1.0,103,2,0.05011839956243528,0.9752475247524752,0.6428571428571428,0.014702270346095874,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,8,2,0.8,0.03,5,300,1.0,103,3,0.12301647047686821,0.9,0.15925925925925927,0.03000356033018393,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,8,3,0.8,0.03,5,300,1.0,102,3,0.12441772089155134,0.898989898989899,0.2637426900584795,0.028801029311497358,0.4,0.3333333333333333,0.98989898989899
XGBoost_single_with_coords,random,True,Cacophis kreftii,8,4,0.8,0.03,5,300,1.0,103,5,0.1746810524117284,0.9122448979591836,0.3953601953601954,0.04554417204295219,0.25,0.2,0.9795918367346939
XGBoost_single_with_coords,random,True,Cacophis kreftii,8,5,0.8,0.03,5,300,1.0,102,3,0.09901369866509564,0.9528619528619529,0.2869047619047619,0.03286981133747594,0.0,0.0,0.9797979797979798
XGBoost_single_with_coords,random,True,Cacophis kreftii,9,1,0.8,0.1,3,100,0.8,103,2,0.043876321228942035,0.9900990099009901,0.75,0.01258217246654848,0.0,0.0,1.0
