model,split_type,use_coords,species,candidate,fold,model__colsample_bytree,model__learning_rate,model__max_depth,model__n_estimators,model__subsample,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,1,1,0.8,0.03,3,100,0.8,103,5,0.1399822485641531,0.9183673469387755,0.42584424863062637,0.040808401564788946,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,1,2,0.8,0.03,3,100,0.8,103,4,0.09915331542207147,0.9444444444444445,0.496031746031746,0.029531345147507382,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,1,3,0.8,0.03,3,100,0.8,102,4,0.1487576724568043,0.8520408163265306,0.16845238095238096,0.03845556802656999,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,1,4,0.8,0.03,3,100,0.8,103,4,0.10268502167831409,0.9368686868686869,0.27146464646464646,0.03181978187446862,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,1,5,0.8,0.03,3,100,0.8,102,2,0.07577237555628566,0.9299999999999999,0.31666666666666665,0.020373245749957417,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,2,1,0.8,0.03,3,100,1.0,103,5,0.13756569055920126,0.9204081632653062,0.4296904024767802,0.04041885773001392,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,2,2,0.8,0.03,3,100,1.0,103,4,0.0940421179143049,0.9419191919191919,0.4608516483516484,0.028582904803849958,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,2,3,0.8,0.03,3,100,1.0,102,4,0.15339391233738311,0.8520408163265306,0.1587752525252525,0.03968278460810467,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,2,4,0.8,0.03,3,100,1.0,103,4,0.10409472747985285,0.9419191919191919,0.29358974358974355,0.032852000694576416,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,2,5,0.8,0.03,3,100,1.0,102,2,0.085117394645204,0.905,0.3,0.023222689985731015,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,3,1,0.8,0.03,3,300,0.8,103,5,0.16537777507902068,0.9244897959183674,0.4621212121212121,0.04201902249039229,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,3,2,0.8,0.03,3,300,0.8,103,4,0.10207388411930696,0.9444444444444444,0.48590686274509803,0.029038325321999972,0.4,0.25,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,3,3,0.8,0.03,3,300,0.8,102,4,0.15393887454848923,0.8724489795918368,0.2276785714285714,0.03653863580060911,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,3,4,0.8,0.03,3,300,0.8,103,4,0.09934115659280034,0.9444444444444444,0.29851190476190476,0.03239391812371962,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,3,5,0.8,0.03,3,300,0.8,102,2,0.07889335413997488,0.935,0.3214285714285714,0.022648628056609735,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,4,1,0.8,0.03,3,300,1.0,103,5,0.1604077711510797,0.9224489795918367,0.35549783549783553,0.040702947015695726,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,4,2,0.8,0.03,3,300,1.0,103,4,0.10157179789879853,0.946969696969697,0.48333333333333334,0.031119568655734828,0.3333333333333333,0.25,0.98989898989899
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,4,3,0.8,0.03,3,300,1.0,102,4,0.17098351357500063,0.8545918367346939,0.1875,0.041916335689964064,0.0,0.0,0.9897959183673469
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,4,4,0.8,0.03,3,300,1.0,103,4,0.10014315084247154,0.9419191919191918,0.30608974358974356,0.03199976667345314,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,4,5,0.8,0.03,3,300,1.0,102,2,0.09003384984578879,0.93,0.31666666666666665,0.025130231239720732,0.4,0.5,0.98
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,5,1,0.8,0.03,5,100,0.8,103,5,0.1389321627761179,0.9224489795918368,0.4326315789473684,0.04035546061976754,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,5,2,0.8,0.03,5,100,0.8,103,4,0.0997385838353631,0.9393939393939394,0.470734126984127,0.02943285190938895,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,5,3,0.8,0.03,5,100,0.8,102,4,0.14923154633570485,0.8698979591836734,0.17472500696184906,0.03880694126918203,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,5,4,0.8,0.03,5,100,0.8,103,4,0.10462882777629587,0.9343434343434344,0.2631313131313131,0.03242785343208438,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,5,5,0.8,0.03,5,100,0.8,102,2,0.0777789048158299,0.92,0.22916666666666666,0.021174351177402757,0.0,0.0,0.99
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,6,1,0.8,0.03,5,100,1.0,103,5,0.13918672837397086,0.9224489795918368,0.4222222222222222,0.04026125619141653,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,6,2,0.8,0.03,5,100,1.0,103,4,0.09174914463047018,0.9621212121212122,0.5492424242424242,0.028332716670870253,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,6,3,0.8,0.03,5,100,1.0,102,4,0.1574385440303963,0.8622448979591837,0.17258986928104575,0.040194310955110675,0.0,0.0,0.9897959183673469
