model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
XGBoost_single_with_coords,spatial,True,Cacophis kreftii,128,1,0.10463895851664895,0.8503937007874015,0.05,0.01650551776484649,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.40077035076508266,0.7752508361204014,0.32755855710029197,0.09659728640037879,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.5418985469835096,0.7687499999999999,0.484841956384018,0.1973766708082536,0.0,0.0,0.9886363636363636
XGBoost_single_with_coords,spatial,True,Egernia mcpheei,128,6,0.20508148197263856,0.7117486338797815,0.10798652794451113,0.04525661397642634,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Eulamprus murrayi,128,0,0.006227254572540424,,,0.00012941816210309095,0.0,,1.0
XGBoost_single_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.30835217840839035,0.7989966555183947,0.23478413230943593,0.09433001434214217,0.09523809523809523,0.07692307692307693,0.9391304347826087
XGBoost_single_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.07290718807843313,0.7658730158730159,0.14224137931034483,0.015151125357004004,0.0,0.0,1.0
XGBoost_single_with_coords,spatial,True,Saltuarius swaini,128,0,0.018585199951737973,,,0.0007367409762107761,0.0,,1.0
XGBoost_multi_with_coords,spatial,True,Cacophis kreftii,128,1,0.10433650525540293,0.9448818897637795,0.125,0.017846343032334497,0.0,0.0,1.0
XGBoost_multi_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.29778502215762437,0.7672240802675586,0.3470021877760316,0.08820719368950523,0.23529411764705882,0.15384615384615385,0.9826086956521739
XGBoost_multi_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.5371095850153292,0.8105113636363637,0.5523390535353305,0.18913989596150796,0.1702127659574468,0.1,0.9659090909090909
XGBoost_multi_with_coords,spatial,True,Egernia mcpheei,128,6,0.1789196710974268,0.7213114754098361,0.27781897416043755,0.043287541681433866,0.0,0.0,1.0
XGBoost_multi_with_coords,spatial,True,Eulamprus murrayi,128,0,0.018251331306141323,,,0.0005949451063773,0.0,,1.0
XGBoost_multi_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.35887560382573114,0.7471571906354515,0.20113372349309838,0.11844656533379515,0.27586206896551724,0.3076923076923077,0.8956521739130435
XGBoost_multi_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.08308919628058681,0.6944444444444444,0.0763888888888889,0.015877807034930823,0.0,0.0,1.0
XGBoost_multi_with_coords,spatial,True,Saltuarius swaini,128,0,0.0334659486170165,,,0.0017404809761149944,0.0,,1.0
XGBoost_multi_interactions_with_coords,spatial,True,Cacophis kreftii,128,1,0.09524514638112738,0.937007874015748,0.1111111111111111,0.015633293905103075,0.0,0.0,1.0
XGBoost_multi_interactions_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.3217580445224263,0.7538461538461538,0.33350089254065696,0.10083830105493949,0.16666666666666666,0.15384615384615385,0.9217391304347826
XGBoost_multi_interactions_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.5294262138168937,0.8161931818181818,0.5558926705314611,0.1878685025381525,0.2,0.125,0.9431818181818182
XGBoost_multi_interactions_with_coords,spatial,True,Egernia mcpheei,128,6,0.18891308143510951,0.6939890710382514,0.16597147523637384,0.044289605001337315,0.0,0.0,1.0
XGBoost_multi_interactions_with_coords,spatial,True,Eulamprus murrayi,128,0,0.01863594749737365,,,0.0007553346740568052,0.0,,1.0
XGBoost_multi_interactions_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.3672246791318469,0.7678929765886288,0.21387650558551294,0.1219777652300134,0.2857142857142857,0.3076923076923077,0.9043478260869565
XGBoost_multi_interactions_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.07045012662744779,0.75,0.265625,0.014451286875968753,0.0,0.0,1.0
XGBoost_multi_interactions_with_coords,spatial,True,Saltuarius swaini,128,0,0.030740952880252886,,,0.0013442917415984364,0.0,,1.0
XGBoost_single_with_coords,random,True,Cacophis kreftii,128,4,0.08155093111788637,0.9516129032258064,0.3770053475935829,0.023894517898843216,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Calyptotis scutirostrum,128,16,0.21420827786526422,0.9402901785714286,0.6815496957355509,0.06883549760771104,0.43478260869565216,0.3125,0.9821428571428571
XGBoost_single_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.2724944596775052,0.9037037037037037,0.7001972064591333,0.08518151510895262,0.6111111111111112,0.55,0.9537037037037037
XGBoost_single_with_coords,random,True,Egernia mcpheei,128,3,0.0867917948632886,0.8773333333333334,0.2326892109500805,0.02128025373135768,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Eulamprus murrayi,128,1,0.0470765968372045,0.5,0.0078125,0.007765707574289886,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Ophioscincus truncatus,128,26,0.40179555122177946,0.8095776772247361,0.5290678889387301,0.12828909408063985,0.4,0.2692307692307692,0.9803921568627451
XGBoost_single_with_coords,random,True,Pseudechis porphyricaus,128,3,0.13300876132662387,0.6026666666666667,0.04945785712675548,0.025819004517415624,0.0,0.0,1.0
XGBoost_single_with_coords,random,True,Saltuarius swaini,128,1,0.045219404703434336,0.732283464566929,0.02857142857142857,0.00796396700779692,0.0,0.0,1.0
XGBoost_multi_with_coords,random,True,Cacophis kreftii,128,4,0.09358400317244492,0.9516129032258064,0.41929824561403506,0.02517535801086064,0.0,0.0,1.0
XGBoost_multi_with_coords,random,True,Calyptotis scutirostrum,128,16,0.21189502545436073,0.9252232142857143,0.7089849759865451,0.06543319458167335,0.43478260869565216,0.3125,0.9821428571428571
XGBoost_multi_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3032711719199715,0.8740740740740741,0.6277160597940958,0.09632374780357147,0.5116279069767442,0.55,0.8888888888888888
XGBoost_multi_with_coords,random,True,Egernia mcpheei,128,3,0.09129255156137503,0.8666666666666667,0.14703703703703702,0.022058480490942577,0.0,0.0,1.0
XGBoost_multi_with_coords,random,True,Eulamprus murrayi,128,1,0.05706919465126546,0.15748031496062997,0.009259259259259259,0.007931488377906878,0.0,0.0,1.0
